Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,1000.0,1.02554,4.0851054050856166E-8,960.0,1000.0,78.8,1.2299664554602947,34.161490683229815,-1.4354066985645948,1000.0,153976.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,2000.0,2.000617,7.804728970759444E-8,1906.0,2000.0,75.1,-0.17298949993967153,30.056179775280896,-1.840490797545991,2000.0,147456.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,3000.0,2.989193,1.171845072425074E-7,2858.0,3000.0,72.89999999999999,0.04180293604149506,29.18118466898955,-1.1194029850746279,3000.0,153032.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,4000.0,3.891912,1.5420245671851767E-7,3805.0,4000.0,70.175,0.14053984375717363,25.900621118012413,-1.0160880609652845,4000.0,158512.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,5000.0,4.935341,1.9807242757123377E-7,4752.0,5000.0,66.94,0.23590918220720838,19.990319457889644,-0.9157509157509165,5000.0,162520.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,6000.0,5.890231,2.3687008525969254E-7,5712.0,6000.0,64.55,0.5698418560296151,15.494636471990454,-0.6149479659413386,6000.0,157056.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,7000.0,6.798618,2.7506046482879253E-7,6670.0,7000.0,62.92857142857143,0.864576591051249,13.007039892725459,-0.27047913446677,7000.0,162512.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,8000.0,7.783315,3.165507742307252E-7,7621.0,8000.0,60.8375,1.1162532623272747,8.765288293535239,-0.09584664536741577,8000.0,162872.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,9000.0,8.686824,3.5373201288696793E-7,8580.0,9000.0,59.766666666666666,1.0659341860320766,6.7233384853168525,0.05520287054927167,9000.0,159072.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,10000.0,9.655042,3.928948568759693E-7,9531.0,10000.0,58.69,0.9795426755399437,4.153132250580052,0.12088974854930971,10000.0,156352.0
