Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,1000.0,0.969182,9.156188189983367E-8,959.0,1000.0,78.7,-0.04697040864255002,33.850931677018636,-1.9138755980861264,1000.0,365184.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,2000.0,1.86451,1.838938205771976E-7,1908.0,2000.0,75.35,0.1154851388860667,30.75842696629212,-0.8179959100204505,2000.0,398632.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,3000.0,2.684901,2.7078143400036624E-7,2864.0,3000.0,73.06666666666666,0.8260405287641458,29.61672473867597,-0.4975124378109319,3000.0,409392.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,4000.0,3.678536,3.8024328917471896E-7,3798.0,4000.0,70.35,1.435091766755172,26.335403726708073,-0.4233700254021925,4000.0,425832.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,5000.0,4.609101,4.829093075398769E-7,4750.0,5000.0,66.97999999999999,1.4221011291020647,20.087124878993215,-0.7936507936508078,5000.0,426464.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,6000.0,5.478536,5.78525168504566E-7,5694.0,6000.0,64.28333333333333,0.6983091373310477,14.858959078267784,-1.3718070009460486,6000.0,425104.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,7000.0,6.376332,6.740418211515579E-7,6639.0,7000.0,62.62857142857143,0.9585151825209399,12.30305062018104,-1.08191653786708,7000.0,411248.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,8000.0,7.291745,7.75822407508062E-7,7583.0,8000.0,60.5375,0.7127797150894144,8.066394874781599,-0.8626198083067136,8000.0,429784.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,9000.0,8.142733,8.678861186860336E-7,8544.0,9000.0,59.42222222222222,0.5099816929648608,5.924781040700669,-0.8004416229643979,9000.0,418184.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,10000.0,8.951125,9.571300962525937E-7,9491.0,10000.0,58.589999999999996,1.1895244574658137,3.9211136890951335,-0.12088974854933655,10000.0,426736.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,11000.0,9.768173,1.0461104820958443E-6,10459.0,11000.0,57.96363636363636,1.8298321738674042,2.8367304055473705,0.344827586206904,11000.0,420968.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,12000.0,10.565918,1.1334228977105685E-6,11405.0,12000.0,57.291666666666664,1.7954976668845608,0.8895764842390047,0.33061065733176703,12000.0,423072.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,13000.0,11.373427,1.2203617062564526E-6,12362.0,13000.0,56.62307692307692,1.8353299611476346,-1.202440775305102,0.5116443189837748,13000.0,416168.0
