Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,1000.0,0.109201,3.482932454595963E-9,948.0,1000.0,75.7,0.02468526289802888,24.53416149068322,-16.267942583732076,1000.0,123480.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,2000.0,0.15637,5.073670434455077E-9,1906.0,2000.0,73.85000000000001,-0.757123316701021,26.544943820224727,-6.952965235173783,2000.0,130360.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,3000.0,0.195621,6.409077708505923E-9,2848.0,3000.0,72.06666666666666,-0.7926293886289404,27.003484320557504,-4.228855721393025,3000.0,131512.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,4000.0,0.216351,7.1193356584343655E-9,3806.0,4000.0,69.625,-0.8036916551965801,24.534161490683232,-2.8789161727349537,4000.0,132440.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,5000.0,0.326218,1.5806668349024324E-8,4755.0,5000.0,66.56,-0.8060383299285623,19.07066795740561,-2.0757020757020843,5000.0,305648.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,6000.0,0.451001,4.1717310705118707E-8,5707.0,6000.0,64.23333333333333,-0.49851195702821277,14.739769566944766,-1.5137180700094515,6000.0,802648.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,7000.0,0.530264,6.41810527154141E-8,6654.0,7000.0,62.457142857142856,-0.028090080090959715,11.900771035869928,-1.5455950540958456,7000.0,1095504.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,8000.0,0.603074,8.638296947711044E-8,7609.0,8000.0,60.3625,0.3949805478087442,7.658707047175302,-1.3099041533546443,8000.0,1178696.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,9000.0,0.636399,9.70482921310597E-8,8569.0,9000.0,59.17777777777778,0.38609201136581056,5.3580628541988595,-1.4076731990063587,9000.0,1237104.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,10000.0,0.683096,1.1400648120376798E-7,9506.0,10000.0,58.3,0.8772011144540116,3.248259860788866,-0.8220502901354134,10000.0,1403760.0
