Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,1000.0,0.092615,2.982678543776274E-9,943.0,1000.0,78.2,-1.5654118524040397,32.298136645962735,-4.306220095693784,1000.0,124680.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,2000.0,0.128046,4.136204462912348E-9,1887.0,2000.0,75.1,-0.7933937823834041,30.056179775280896,-1.840490797545991,2000.0,125848.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,3000.0,0.147876,4.784599869615502E-9,2840.0,3000.0,72.89999999999999,-0.5308888266038138,29.18118466898955,-1.1194029850746279,3000.0,126392.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,4000.0,0.167776,5.437178632451429E-9,3794.0,4000.0,70.25,-0.39889578088405586,26.08695652173913,-0.762066045723954,4000.0,126760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,5000.0,0.179584,5.826841017438306E-9,4744.0,5000.0,67.06,-0.31946297474803154,20.280735721200383,-0.5494505494505567,5000.0,127560.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,6000.0,0.192076,6.239954328371419E-9,5693.0,6000.0,64.61666666666666,-0.2663694411909002,15.653555820421133,-0.42573320719014535,6000.0,127832.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,7000.0,0.202385,6.580875327603685E-9,6654.0,7000.0,62.9,-0.22838774045659999,12.939993295340265,-0.34775888717157427,7000.0,127832.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,8000.0,0.221728,7.220552783045504E-9,7599.0,8000.0,61.3375,2.4589920951732878,9.930110658124642,1.1821086261980807,8000.0,127832.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,9000.0,0.240576,7.843860474725565E-9,8551.0,9000.0,61.05555555555555,6.7257518889032895,9.71148892323544,3.2569693624068354,9000.0,127832.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,10000.0,0.256141,8.36027369937963E-9,9500.0,10000.0,60.67,9.42064032076287,8.747099767981453,4.908123791102511,10000.0,128248.0
