Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,1000.0,0.118656,3.98242712020874E-9,941.0,1000.0,72.2,3.7662697313763127,13.664596273291904,-33.01435406698568,1000.0,129928.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,2000.0,0.177598,5.973128084507253E-9,1892.0,2000.0,72.1,0.24313501144161295,21.629213483146057,-14.110429447852749,2000.0,130552.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,3000.0,0.206465,6.957817292875713E-9,2847.0,3000.0,70.89999999999999,-0.5744919432881248,23.954703832752614,-8.582089552238813,3000.0,131856.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,4000.0,0.349486,2.783330734819174E-8,3799.0,4000.0,68.75,-0.9999806080037368,22.360248447204963,-5.8425063505503765,4000.0,564208.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,5000.0,0.468032,5.3157661337819364E-8,4752.0,5000.0,65.68,-1.148542883327637,16.94094869312683,-4.761904761904746,5000.0,825760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,6000.0,0.547824,7.392871642692221E-8,5713.0,6000.0,63.7,-0.14322596367163123,13.468414779499401,-3.027436140018903,6000.0,1006240.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,7000.0,0.63233,1.0233134354982111E-7,6655.0,7000.0,62.25714285714285,0.5815768103813063,11.431444854173648,-2.0865533230293853,7000.0,1299192.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,8000.0,0.726562,1.382789739386903E-7,7599.0,8000.0,60.4125,1.2350453111907054,7.775189283634256,-1.1821086261980807,8000.0,1474600.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,9000.0,0.786789,1.6538739122657315E-7,8543.0,9000.0,59.51111111111111,1.7697969981022608,6.130860381246791,-0.5796301407673112,9000.0,1739864.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,10000.0,0.835363,1.891583847316603E-7,9488.0,10000.0,58.53,1.7745294604406676,3.781902552204197,-0.2659574468085082,10000.0,1891672.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,11000.0,0.879074,2.1189546973754964E-7,10433.0,11000.0,57.80909090909091,1.8042807032283656,2.479512502626595,-0.021551724137916697,11000.0,2010696.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,12000.0,0.919916,2.3394311175992093E-7,11383.0,12000.0,57.141666666666666,1.5852624743821344,0.5414813382324422,-0.019447685725396537,12000.0,2086688.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,13000.0,0.96008,2.560832606380185E-7,12345.0,13000.0,56.53076923076923,1.718299599622099,-1.417803302225416,0.2999294283698034,13000.0,2130816.0
