Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,1000.0,0.15746,5.264919168419308E-9,941.0,1000.0,76.3,-2.3935021169964528,26.397515527950304,-13.397129186602886,1000.0,129440.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,2000.0,0.218846,7.3379094443387455E-9,1886.0,2000.0,74.15,-1.5976575549747425,27.387640449438212,-5.725971370143108,2000.0,130536.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,3000.0,0.252062,8.469023609326945E-9,2853.0,3000.0,72.26666666666667,-1.198898813264552,27.526132404181197,-3.482587064676606,3000.0,131632.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,4000.0,0.495505,4.35155097519358E-8,3807.0,4000.0,69.77499999999999,-0.9912850117740066,24.906832298136635,-2.3708721422523307,4000.0,556480.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,5000.0,0.60688,6.70965903562804E-8,4758.0,5000.0,66.67999999999999,-0.8211171948055374,19.36108422071635,-1.7094017094017244,5000.0,818424.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,6000.0,0.711763,9.322770163416862E-8,5702.0,6000.0,64.2,-0.01187291787434441,14.66030989272944,-1.6083254493850323,6000.0,963064.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,7000.0,0.820485,1.2402977459546592E-7,6665.0,7000.0,62.78571428571429,1.2679501742903645,12.67180690579954,-0.6568778979907314,7000.0,1095128.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,8000.0,0.950503,1.6407434536351096E-7,7628.0,8000.0,60.75000000000001,1.3619976205938107,8.561444379732103,-0.319488817891367,8000.0,1190536.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,9000.0,1.074703,2.047396403385533E-7,8586.0,9000.0,59.711111111111116,1.5524271788426363,6.594538897475539,-0.08280430582389373,9000.0,1265624.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,10000.0,1.181471,2.406939517954985E-7,9540.0,10000.0,58.64,1.4184540173100415,4.037122969837605,0.0,10000.0,1301704.0
