Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,1000.0,0.100798,2.9704279411170218E-9,956.0,1000.0,65.9,4.721989382509088,-5.900621118012428,-63.157894736842124,1000.0,114104.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,2000.0,0.133257,3.937848700831334E-9,1900.0,2000.0,60.4,8.369391674572489,-11.235955056179787,-61.963190184049054,2000.0,115208.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,3000.0,0.198211,7.564478849785196E-9,2853.0,3000.0,61.7,7.723196359255777,-0.08710801393727262,-42.91044776119403,3000.0,215824.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,4000.0,0.227971,9.37982572656539E-9,3799.0,4000.0,61.95,8.70231315466501,5.465838509316775,-28.87383573243012,4000.0,235792.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,5000.0,0.247753,1.0630776159879236E-8,4758.0,5000.0,61.739999999999995,10.8556146144228,7.405614714423998,-16.788766788766804,5000.0,244440.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,6000.0,0.267098,1.1897331554856567E-8,5703.0,6000.0,61.53333333333333,12.33417846527836,8.303535955502568,-9.176915799432352,6000.0,253080.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,7000.0,0.286708,1.3208713047206404E-8,6656.0,7000.0,60.642857142857146,10.730073850785674,7.643312101910831,-6.452859350850093,7000.0,258496.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,8000.0,0.307281,1.4622302597595588E-8,7611.0,8000.0,59.68750000000001,10.347397579546548,6.08619685497963,-3.0351437699680432,8000.0,265600.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,9000.0,0.328815,1.61602168240481E-8,8561.0,9000.0,59.13333333333334,9.93688235670546,5.255023183925824,-1.5180789401048744,9000.0,276064.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,10000.0,0.348113,1.7575024858944948E-8,9511.0,10000.0,58.95,10.409573818451785,4.756380510440851,0.7495164410058008,10000.0,283392.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,11000.0,0.36869,1.9091905456864173E-8,10463.0,11000.0,58.53636363636363,10.263915058162555,4.160537928136142,1.7025862068965507,11000.0,284952.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,12000.0,0.386306,2.0396050812883513E-8,11414.0,12000.0,58.56666666666667,10.872079594411792,3.8483852252949027,3.3061065733177744,12000.0,286168.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,13000.0,0.405014,2.178460103977058E-8,12361.0,13000.0,58.46153846153847,11.296492736610606,3.0868628858578693,4.728299223712087,13000.0,286904.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,14000.0,0.424488,2.3236091354240977E-8,13313.0,14000.0,58.33571428571429,11.651384512016657,2.9289399234481603,5.934526689243686,14000.0,288112.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,15000.0,0.44307,2.462398095056415E-8,14266.0,15000.0,58.11333333333333,11.841023224467273,2.3620823620823606,6.932306324988868,15000.0,288712.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,16000.0,0.459476,2.5859531290415265E-8,15224.0,16000.0,58.05625,11.977526003830508,2.6403597852894296,7.4344827586206845,16000.0,291112.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,17000.0,0.477361,2.720850224503213E-8,16172.0,17000.0,58.135294117647064,12.581023444143968,2.998500749625187,8.451247748906626,17000.0,291552.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,18000.0,0.500926,2.8989250705473955E-8,17117.0,18000.0,58.53333333333334,12.630513340605026,3.4411384217335064,7.874598864477919,18000.0,292104.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,19000.0,0.521461,3.057825903304749E-8,18069.0,19000.0,59.51578947368421,13.111548640927722,3.8019009504752406,6.9215876089061,19000.0,299112.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,20000.0,0.536326,3.173285781302386E-8,19028.0,20000.0,60.205,13.276072368224614,4.361932227829849,6.03305785123966,20000.0,300240.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,21000.0,0.551902,3.29502571022345E-8,19983.0,21000.0,60.64761904761905,13.204874306710288,4.814558857406145,5.153219327441756,21000.0,302120.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,22000.0,0.566788,3.411391176490321E-8,20933.0,22000.0,60.904545454545456,12.952792961220661,5.1708930540242495,4.3695797198132205,22000.0,302168.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,23000.0,0.581641,3.527772262899413E-8,21892.0,23000.0,61.19130434782609,12.79739605815586,5.40483255616787,3.825018855726762,23000.0,302880.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,24000.0,0.597076,3.6487391816659117E-8,22835.0,24000.0,61.358333333333334,12.527588613683946,5.732872535068121,3.2850140786317787,24000.0,302944.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,25000.0,0.612052,3.766186319498553E-8,23776.0,25000.0,61.507999999999996,12.232546310424427,5.721563632801003,2.7095339197249904,25000.0,303144.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,26000.0,0.627859,3.890343470084999E-8,24728.0,26000.0,61.59615384615385,11.991210308157891,5.9084055785902825,2.3853749144588763,26000.0,303616.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,27000.0,0.644789,4.0221334975212816E-8,25689.0,27000.0,61.67037037037038,11.66902887781634,6.174070716228477,1.8307721494972715,27000.0,300904.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,28000.0,0.658517,4.129835991188884E-8,26651.0,28000.0,61.68214285714285,11.362385497699904,6.280573025856021,1.4874667156367634,28000.0,303264.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,29000.0,0.692715,4.485798698953457E-8,27597.0,29000.0,61.62068965517241,10.958933472245892,6.194690265486708,1.0490753911806445,29000.0,402352.0
