Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,1000.0,0.142268,6.856004355682268E-9,935.0,1000.0,71.1,-1.0560179033499317,10.24844720496892,-38.277511961722524,1000.0,186472.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,2000.0,0.178348,8.811348966426321E-9,1882.0,2000.0,71.45,-2.1741075422742924,19.803370786516858,-16.768916155419188,2000.0,209488.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,3000.0,0.203153,1.0238659619871116E-8,2837.0,3000.0,70.39999999999999,-2.139014879936806,22.648083623693378,-10.44776119402986,3000.0,222424.0
Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,1000.0,0.151926,4.477124897142251E-9,947.0,1000.0,75.0,12.758235622557242,22.36024844720496,-19.617224880382796,1000.0,114104.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,2000.0,0.287191,1.1808330263528558E-8,1896.0,2000.0,71.55,6.227854776776149,20.08426966292135,-16.359918200408963,2000.0,209504.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,3000.0,0.340562,1.4889194870160685E-8,2846.0,3000.0,69.19999999999999,6.3035535019553794,19.512195121951216,-14.925373134328371,3000.0,223136.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,4000.0,0.386527,1.77546834697326E-8,3790.0,4000.0,67.35,3.471050923824923,18.88198757763974,-10.584250635055039,4000.0,240976.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,5000.0,0.421857,2.006173952586121E-8,4741.0,5000.0,65.56,5.695984445204318,16.65053242981606,-5.12820512820514,5000.0,252416.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,6000.0,0.451867,2.2096488140523433E-8,5689.0,6000.0,64.03333333333333,6.651411367504921,14.263011521652752,-2.0813623462629995,6000.0,262088.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,7000.0,0.485968,2.4439034275710583E-8,6639.0,7000.0,62.828571428571436,6.814607728585862,12.77237680187732,-0.54095826893354,7000.0,265536.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,8000.0,0.518501,2.668982498968641E-8,7600.0,8000.0,61.3625,7.055931220787699,9.988351776354104,1.2460063897763485,8000.0,267432.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,9000.0,0.549594,2.8856819681823254E-8,8557.0,9000.0,60.633333333333326,7.223654101431981,8.732612055641411,2.2081148219707294,9000.0,269400.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,10000.0,0.584592,3.1327694579958916E-8,9506.0,10000.0,60.11,7.881926290761479,7.4477958236658965,3.5541586073500815,10000.0,272904.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,11000.0,0.616004,3.355768320461114E-8,10458.0,11000.0,59.60909090909091,8.08337445222972,6.640050430762763,4.2456896551724315,11000.0,274416.0
