Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,1000.0,0.16558,5.529227563076549E-9,946.0,1000.0,70.89999999999999,-1.344291983004836,9.62732919254656,-39.23444976076559,1000.0,129272.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,2000.0,0.228851,7.67294491537743E-9,1892.0,2000.0,71.45,-2.360934334833216,19.803370786516858,-16.768916155419188,2000.0,130968.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,3000.0,0.261628,8.790330723341967E-9,2844.0,3000.0,70.46666666666667,-2.2358810248204763,22.822299651567953,-10.199004975124373,3000.0,131776.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,4000.0,0.486272,4.1632133020708954E-8,3790.0,4000.0,68.425,-2.1516551722464676,21.5527950310559,-6.943268416596092,4000.0,565112.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,5000.0,0.612116,6.827017858003576E-8,4734.0,5000.0,65.7,-1.5223979128652703,16.989351403678615,-4.700854700854692,5000.0,818224.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,6000.0,0.718834,9.477785614008704E-8,5683.0,6000.0,63.983333333333334,0.840174183571897,14.143822010329762,-2.223273415326371,6000.0,960144.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,7000.0,0.82895,1.2601793627151185E-7,6637.0,7000.0,62.52857142857143,1.4798889337463708,12.0683875293329,-1.35239567233385,7000.0,1096640.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,8000.0,0.921609,1.5482890820751587E-7,7579.0,8000.0,60.8875,2.578509298630662,8.881770529994192,0.03194888178914805,8000.0,1201912.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,9000.0,0.993148,1.7845814870256515E-7,8530.0,9000.0,60.05555555555555,3.1872012133511602,7.393096342091697,0.7728401876897483,9000.0,1276760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,10000.0,1.073387,2.0587749031889768E-7,9482.0,10000.0,59.0,3.168830717340897,4.8723897911832985,0.8704061895551105,10000.0,1320912.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,11000.0,1.143353,2.3020553523260684E-7,10425.0,11000.0,58.57272727272728,3.8674854509604026,4.2445891994116405,1.7887931034482965,11000.0,1344072.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,12000.0,1.226238,2.5942210373572174E-7,11375.0,12000.0,58.18333333333333,4.36147930187435,2.958808741055872,2.4115130299494294,12000.0,1362560.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,13000.0,1.298256,2.851276671617395E-7,12317.0,13000.0,57.67692307692308,4.697479185301109,1.2562814070351869,2.9287226534933173,13000.0,1379712.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,14000.0,1.382547,3.1669668058347367E-7,13260.0,14000.0,56.96428571428571,4.436585069520973,-0.2662672657680334,2.8382518948556674,14000.0,1447712.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,15000.0,1.44284,3.3961352950375934E-7,14211.0,15000.0,56.34,4.4392113343354485,-1.7715617715617575,2.992149311213145,15000.0,1469232.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,16000.0,1.499084,3.612940360212491E-7,15175.0,16000.0,56.275,4.900626949345569,-1.4942695488176374,3.503448275862063,16000.0,1490032.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,17000.0,1.552542,3.8277752531278456E-7,16133.0,17000.0,56.00000000000001,5.102813370234493,-1.9490254872563693,3.7818368922048027,17000.0,1553440.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,18000.0,1.600962,4.0307903160858477E-7,17084.0,18000.0,56.57222222222222,5.075419119691213,-1.1254851228978062,3.5176499629721127,18000.0,1620712.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,19000.0,1.65651,4.269719093065294E-7,18037.0,19000.0,57.847368421052636,5.1414764719120205,-0.1625812906453089,3.0856727976766822,19000.0,1662656.0
