Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,1000.0,0.131749,4.415866101367606E-9,946.0,1000.0,76.2,-2.058319039451078,26.086956521739125,-13.875598086124416,1000.0,129752.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,2000.0,0.193368,6.495832041319874E-9,1890.0,2000.0,74.1,-1.4890282131661543,27.247191011235948,-5.930470347648243,2000.0,130480.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,3000.0,0.220915,7.429223153740167E-9,2839.0,3000.0,72.23333333333333,-1.1495183356269816,27.439024390243922,-3.6069651741293285,3000.0,130976.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,4000.0,0.460179,4.283227049021257E-8,3790.0,4000.0,69.75,-0.9713274808905772,24.844720496894407,-2.4555461473327616,4000.0,571960.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,5000.0,0.614868,7.525786092090938E-8,4751.0,5000.0,66.67999999999999,-0.3609379326032585,19.36108422071635,-1.7094017094017244,5000.0,810272.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,6000.0,0.709422,9.881750681954953E-8,5705.0,6000.0,63.9,-0.24413102083787855,13.945172824791419,-2.4597918637653544,6000.0,963144.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,7000.0,0.781508,1.1929706132039428E-7,6661.0,7000.0,62.171428571428564,0.08177381803949064,11.230305062018093,-2.3183925811437684,7000.0,1098176.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,8000.0,0.880548,1.500812490346531E-7,7593.0,8000.0,60.262499999999996,0.32054829656000444,7.425742574257423,-1.5654952076677437,8000.0,1201488.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,9000.0,0.965095,1.7935417831978865E-7,8533.0,9000.0,59.42222222222222,0.8674729493790662,5.924781040700669,-0.8004416229643979,9000.0,1338352.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,10000.0,1.051127,2.114278109309574E-7,9467.0,10000.0,58.45,1.0022432820193798,3.596287703016257,-0.4593810444874306,10000.0,1441088.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff) -t 0.95,1,11000.0,1.139572,2.4595875909551976E-7,10423.0,11000.0,57.71818181818181,1.0959116601929089,2.269384324437886,-0.23706896551724155,11000.0,1509168.0
