Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff,1,1000.0,1.740704,3.620331632428699E-7,1000.0,75.5,7.175873304538895,23.91304347826086,-17.224880382775137,1000.0,803944.0,221.0,220.0,220.0,1.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff,1,2000.0,2.41299,5.445540713725818E-7,2000.0,72.85000000000001,10.362018587912937,23.73595505617978,-11.042944785276037,2000.0,1049448.0,247.0,246.0,246.0,1.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff,1,3000.0,3.022086,7.255846742250853E-7,3000.0,70.46666666666667,7.550720151369153,22.822299651567953,-10.199004975124373,3000.0,1148864.0,255.0,254.0,254.0,1.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff,1,4000.0,3.522533,8.823907823715773E-7,4000.0,69.1,10.219048089467112,23.229813664596254,-4.6570702794242305,4000.0,1211176.0,262.0,261.0,261.0,1.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff,1,5000.0,3.914039,1.034435024594681E-6,5000.0,67.12,11.666947856633955,20.425943852855767,-0.36630036630035984,5000.0,1501184.0,708.0,705.0,705.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff,1,6000.0,4.384042,1.2684998815258343E-6,6000.0,66.06666666666666,14.120547586960308,19.110051648788225,3.689687795648063,6000.0,1925032.0,953.0,949.0,949.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff,1,7000.0,4.974612,1.6422190287874805E-6,7000.0,64.77142857142857,14.367243779124042,17.331545424069724,4.714064914992251,7000.0,2446112.0,1203.0,1198.0,1198.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff,1,8000.0,5.445585,1.99120396754187E-6,8000.0,63.9625,16.264179977118598,16.04542807221899,7.89137380191693,8000.0,2864264.0,1213.0,1208.0,1208.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff,1,9000.0,5.82699,2.304220713176247E-6,9000.0,63.411111111111104,17.067547429068778,15.17259144770736,9.108473640629303,9000.0,3172368.0,1423.0,1417.0,1417.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/airlines.arff,1,10000.0,6.407243,2.8598315644409093E-6,10000.0,63.17,18.189668645722932,14.547563805104428,10.952611218568668,10000.0,3701312.0,2095.0,2086.0,2086.0,2.0,0.0,0.0,1.0
