Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,1000.0,6.796443,4.4967458949113887E-7,946.0,1000.0,26.200000000000003,2.5324396605804504,-79.126213592233,-79.126213592233,1000.0,255752.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,2000.0,12.790656,7.948496043247481E-7,1900.0,2000.0,28.050000000000004,4.151492595719457,-54.56498388829214,-22.991452991452984,2000.0,222592.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,3000.0,18.553488,1.1162408165695768E-6,2871.0,3000.0,21.066666666666666,4.533644029018865,-79.39393939393942,-12.708234174202765,3000.0,215576.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,4000.0,23.826455,1.4606539184910557E-6,3817.0,4000.0,17.275,4.279604222631926,-106.9418386491557,-7.7850162866449555,4000.0,252480.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,5000.0,29.342926,1.804634299464524E-6,4769.0,5000.0,15.559999999999999,4.439714564913025,-117.51674394641938,-12.646744930629673,5000.0,241032.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,6000.0,34.856761,2.16716511397933E-6,5704.0,6000.0,14.233333333333334,4.37816743836277,-114.23813488759369,-15.355301501905402,6000.0,254152.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,7000.0,40.301722,2.5246829472544294E-6,6650.0,7000.0,14.62857142857143,4.245470006367614,-106.85358255451713,-11.140040915008367,7000.0,253808.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,8000.0,45.434017,2.861702899175386E-6,7602.0,8000.0,14.75,4.547633460113296,-103.82546323968917,-6.946840206993886,8000.0,253832.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,9000.0,50.785801,3.2111976154024404E-6,8546.0,9000.0,16.733333333333334,5.028087303190546,-94.04453650958054,-1.5860105734038243,9000.0,252432.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,10000.0,55.926943,3.5108770711223286E-6,9484.0,10000.0,18.22,5.133151445272309,-91.61199625117152,2.3755521069595322,10000.0,225320.0
