Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,1000.0,5.098106,1.3863261034753588E-6,947.0,1000.0,37.2,10.080440777661007,-52.427184466019405,-52.427184466019405,1000.0,1051136.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,2000.0,9.955286,2.7787509238388806E-6,1910.0,2000.0,39.5,14.822383551287132,-29.967776584317928,-3.418803418803413,2000.0,1108128.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,3000.0,14.92237,4.285815904711684E-6,2867.0,3000.0,38.666666666666664,21.709701274288072,-39.39393939393941,12.422655878153257,3000.0,1172824.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,4000.0,19.610261,5.696751468400989E-6,3820.0,4000.0,40.075,27.37241219716254,-49.906191369605985,21.921824104234528,4000.0,1163408.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,5000.0,24.385284,7.115866250979404E-6,4764.0,5000.0,40.68,29.13417733906912,-52.80783101494075,20.86446104589114,5000.0,1148800.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,6000.0,29.531987,8.650246505321315E-6,5708.0,6000.0,40.949999999999996,29.804848695900027,-47.502081598667786,20.57834566240753,6000.0,1152408.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,7000.0,34.303689,1.0082832095173913E-5,6672.0,7000.0,41.699999999999996,30.77685970279339,-41.25995154032538,24.102659475543984,7000.0,1160512.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,8000.0,39.143493,1.1534821912793237E-5,7616.0,8000.0,41.6375,31.174057587442867,-39.53974895397489,26.783754116355652,8000.0,1159680.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,9000.0,44.029478,1.2983445651862358E-5,8569.0,9000.0,42.11111111111111,31.74066501187638,-34.90419471776282,29.375084722787037,9000.0,1146056.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,10000.0,48.810175,1.4398438850370133E-5,9515.0,10000.0,43.059999999999995,33.368011456770105,-33.41143392689786,32.02817237674585,10000.0,1144104.0
