Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,1000.0,0.198732,5.851932068665823E-9,956.0,1000.0,54.2,14.324623626949206,-11.165048543689302,-11.165048543689302,1000.0,114016.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,2000.0,0.261764,7.840272121959263E-9,1911.0,2000.0,39.2,0.9402126119565077,-30.612244897959172,-3.931623931623926,2000.0,121936.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,3000.0,0.303116,9.169451379113728E-9,2869.0,3000.0,28.433333333333334,-0.2936403461648784,-62.65151515151517,-2.1894336030461736,3000.0,124248.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,4000.0,0.343852,1.0479673594236375E-8,3821.0,4000.0,22.1,-0.5030879460882882,-94.87179487179486,-1.4983713355048873,4000.0,124328.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,5000.0,0.383674,1.1761075059572857E-8,4779.0,5000.0,18.099999999999998,-0.5403151932743316,-110.97372488408037,-9.25827107790822,5000.0,124384.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,6000.0,0.422944,1.3026339610417686E-8,5725.0,6000.0,15.5,-0.5076827418495821,-111.07410491257286,-13.651647612642906,6000.0,124544.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,7000.0,0.460322,1.423118614074257E-8,6665.0,7000.0,15.042857142857144,-0.49586958813543724,-105.84977500865351,-10.600706713780916,7000.0,124600.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,8000.0,0.488866,1.5151808224618438E-8,7626.0,8000.0,14.35,-0.46670206778749695,-104.78182904961149,-7.448643562803828,8000.0,124672.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,9000.0,0.5163,1.6037083992527595E-8,8570.0,9000.0,14.299999999999999,-0.4873034190075066,-99.71517348524081,-4.5546970313135455,9000.0,124736.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,10000.0,0.547596,1.704724284923739E-8,9526.0,10000.0,14.19,-0.4845919507614484,-101.0543580131209,-2.4352393458278625,10000.0,124768.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,11000.0,0.580069,1.8095728438347582E-8,10481.0,11000.0,14.318181818181818,-0.4589610682015687,-98.88162059506227,-0.5226109215017072,11000.0,124808.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,12000.0,0.60933,1.9040505232082477E-8,11439.0,12000.0,15.508333333333333,-0.3940914494389957,-94.53184957789715,-0.4756713903478351,12000.0,124808.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,13000.0,0.63522,1.9876493033435614E-8,12391.0,13000.0,14.623076923076923,-0.364008469231813,-94.10633088492479,-1.3792473511143615,13000.0,124816.0
