Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,1000.0,0.300062,8.842561845150259E-9,956.0,1000.0,49.4,9.88054719961816,-22.81553398058252,-22.81553398058252,1000.0,114104.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,2000.0,0.469598,1.4105301106141672E-8,1904.0,2000.0,52.0,28.998494176397323,-3.114930182599346,17.948717948717956,2000.0,119992.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,3000.0,0.547758,1.6624719074202907E-8,2868.0,3000.0,52.36666666666666,39.04506783315666,-8.257575757575783,31.98476915754402,3000.0,124600.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,4000.0,0.615417,1.8806766882124873E-8,3835.0,4000.0,50.0,39.646523266303,-25.078173858661646,34.85342019543974,4000.0,124664.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,5000.0,0.682832,2.098122457249297E-8,4793.0,5000.0,50.42,40.68207809607608,-27.717671303451834,33.85805763073639,5000.0,124680.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,6000.0,0.743407,2.2935184761881826E-8,5747.0,6000.0,50.71666666666667,41.01476349736107,-23.10574521232307,33.7144138085631,6000.0,124688.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,7000.0,0.794342,2.4579032001396018E-8,6703.0,7000.0,49.28571428571429,39.42497850622729,-22.87988923502942,33.97805467732937,7000.0,124752.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,8000.0,0.845158,2.6219774886137907E-8,7652.0,8000.0,46.9875,37.15160663337302,-26.748356246264194,33.49537400031363,8000.0,124808.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,9000.0,0.894683,2.7819756542642908E-8,8598.0,9000.0,44.888888888888886,34.93185248491232,-28.43086483687209,32.763996204419136,9000.0,124880.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,10000.0,0.943663,2.940253660910659E-8,9556.0,10000.0,43.79,34.29900663511071,-31.70103092783506,32.89960606422347,10000.0,124912.0
