Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,1000.0,0.189968,5.5175914367039996E-9,950.0,1000.0,56.599999999999994,17.592172395656306,-5.339805825242723,-5.339805825242723,1000.0,112464.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,2000.0,0.292015,8.741303284962973E-9,1904.0,2000.0,58.550000000000004,37.8184320718876,10.95596133190119,29.145299145299152,2000.0,122112.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,3000.0,0.367556,1.1175205740663741E-8,2866.0,3000.0,52.5,38.6287641742432,-7.954545454545463,32.175154688243694,3000.0,124544.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,4000.0,0.441772,1.3567799578110377E-8,3828.0,4000.0,49.075,38.82254114555768,-27.392120075046883,33.648208469055376,4000.0,124616.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,5000.0,0.547323,1.6971234273579385E-8,4777.0,5000.0,50.480000000000004,40.95587290899493,-27.563111798042243,33.938100320170754,5000.0,124640.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,6000.0,0.659342,2.0583689788149464E-8,5730.0,6000.0,50.93333333333333,41.233184885909736,-22.564529558701093,34.00582828962116,6000.0,124656.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,7000.0,0.740738,2.3209438824819194E-8,6680.0,7000.0,49.128571428571426,39.179839142666786,-23.260643821391493,33.77347963548448,7000.0,124696.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,8000.0,0.814788,2.5599899453421434E-8,7624.0,8000.0,46.5875,36.72951213075194,-27.704722056186494,32.99357064450369,8000.0,124784.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,9000.0,0.881433,2.7752417450149853E-8,8565.0,9000.0,44.18888888888889,34.23444666921629,-30.062143966856553,31.909990511047848,9000.0,124848.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,10000.0,0.962365,3.0367385769883794E-8,9520.0,10000.0,43.05,33.455391374666604,-33.43486410496721,32.01623492897219,10000.0,124896.0
