Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,1000.0,0.268013,7.790497990532055E-9,942.0,1000.0,56.39999999999999,23.738759775344175,-5.825242718446607,-5.825242718446607,1000.0,112552.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,2000.0,0.390619,1.1614197656098341E-8,1894.0,2000.0,43.7,15.640328118666938,-20.94522019334049,3.760683760683764,2000.0,120552.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,3000.0,0.506646,1.5353984503696365E-8,2845.0,3000.0,45.166666666666664,29.852032564008418,-24.62121212121214,21.703950499762016,3000.0,124592.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,4000.0,0.624689,1.9160216957744627E-8,3791.0,4000.0,46.075,35.097281111668934,-34.89681050656659,29.739413680781755,4000.0,124640.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,5000.0,0.739646,2.286765676405695E-8,4738.0,5000.0,48.76,38.568882266327726,-31.993817619783627,31.64354322305229,5000.0,124664.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,6000.0,0.855738,2.6612662134899036E-8,5682.0,6000.0,48.699999999999996,38.376174149439045,-28.143213988343057,31.00201748486886,6000.0,124696.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,7000.0,0.968235,3.0243093547307786E-8,6634.0,7000.0,46.542857142857144,36.05515788241262,-29.52578746971271,30.40729031058211,7000.0,124744.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,8000.0,1.080385,3.386418364735114E-8,7582.0,8000.0,45.85,35.88988569896961,-29.468021518230714,32.06837070722911,8000.0,124808.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,9000.0,1.214953,3.804367370696532E-8,8522.0,9000.0,44.15555555555555,34.23885626725478,-30.139823925427244,31.86932357326826,9000.0,120056.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,10000.0,1.328989,4.1944675691839725E-8,9465.0,10000.0,45.839999999999996,36.730346747138434,-26.897844423617638,35.34678285782499,10000.0,132232.0
