Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,1000.0,0.299199,7.600354912380378E-9,948.0,1000.0,31.1,2.6799044596333426,-67.23300970873785,-67.23300970873785,1000.0,98384.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,2000.0,0.399158,1.0349940084334878E-8,1906.0,2000.0,40.699999999999996,17.185334821576635,-27.38990332975295,-1.3675213675213687,2000.0,106328.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,3000.0,0.497608,1.3119550308005677E-8,2870.0,3000.0,41.03333333333333,27.478986739190415,-34.01515151515153,15.801999048072343,3000.0,108744.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,4000.0,0.593989,1.5832351406829225E-8,3819.0,4000.0,41.25,31.013508435726898,-46.96685428392744,23.45276872964169,4000.0,108800.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,5000.0,0.673351,1.806645337285267E-8,4772.0,5000.0,41.72,31.891894064923154,-50.12879958784132,22.25186766275347,5000.0,108816.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,6000.0,0.738643,1.9905419807053276E-8,5716.0,6000.0,41.56666666666667,31.306987427376143,-45.9616985845129,21.407756108495853,6000.0,108872.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,7000.0,0.82335,2.255663432594803E-8,6659.0,7000.0,39.385714285714286,28.89810495890293,-46.8674281758394,21.089827041100985,7000.0,120984.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,8000.0,0.928787,2.6417913687311942E-8,7610.0,8000.0,36.825,26.51450244436698,-51.0460251046025,20.74643249176729,8000.0,141560.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,9000.0,0.983312,2.841798293300801E-8,8572.0,9000.0,37.28888888888889,27.08186298289299,-46.14189539098913,23.491934390673713,9000.0,141792.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,10000.0,1.026006,2.998601499737965E-8,9520.0,10000.0,37.39,27.362322074234154,-46.69634489222119,25.259639489077234,10000.0,141968.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,11000.0,1.074398,3.176552213107546E-8,10469.0,11000.0,36.38181818181818,25.883399580898153,-47.66828444819584,25.362627986348123,11000.0,142144.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,12000.0,1.121448,3.3498796226663716E-8,11424.0,12000.0,35.36666666666667,24.45811836480754,-48.81043745203376,23.139431176295712,12000.0,142400.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,13000.0,1.14827,3.452741440178619E-8,12383.0,13000.0,34.323076923076925,23.479303693514485,-49.31794333683105,22.013153087321886,13000.0,148240.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,14000.0,1.182272,3.583215817602144E-8,13331.0,14000.0,34.285714285714285,23.48218189631554,-44.74512271869101,22.2644697929869,14000.0,148328.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,15000.0,1.224709,3.746083797473046E-8,14279.0,15000.0,34.49333333333333,23.620982513687512,-41.8712099335836,23.437743493844472,15000.0,148352.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,16000.0,1.269535,3.9181390195671053E-8,15238.0,16000.0,32.475,21.3232731464535,-54.03478756772172,17.520421406214215,16000.0,148368.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,17000.0,1.312797,4.084218015480372E-8,16200.0,17000.0,30.564705882352943,19.286406042970004,-67.12445136627494,11.288140688411245,17000.0,148392.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,18000.0,1.353866,4.2418782781395644E-8,17156.0,18000.0,28.866666666666667,17.503932855892845,-80.5160016918088,5.316867558973602,18000.0,148392.0
