Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,1000.0,0.186418,4.732367040382491E-9,951.0,1000.0,28.000000000000004,0.5263812326439308,-74.75728155339803,-74.75728155339803,1000.0,98320.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,2000.0,0.246473,6.384307711074749E-9,1901.0,2000.0,37.8,14.518638235180942,-33.61976369495166,-6.324786324786322,2000.0,106328.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,3000.0,0.309497,8.157047498971224E-9,2857.0,3000.0,39.4,25.563138604192844,-37.72727272727274,13.46977629700143,3000.0,108728.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,4000.0,0.372055,9.917715396732092E-9,3815.0,4000.0,41.25,30.770292442487413,-46.96685428392744,23.45276872964169,4000.0,108792.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,5000.0,0.432827,1.1628368643836844E-8,4747.0,5000.0,42.54,32.4902946280509,-48.01648634724369,23.345784418356455,5000.0,108808.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,6000.0,0.531439,1.4567643435051045E-8,5698.0,6000.0,41.16666666666667,30.830209915616773,-46.960865945045796,20.86976014346559,6000.0,115216.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,7000.0,0.607709,1.7157942708581688E-8,6648.0,7000.0,39.91428571428571,29.712632286271507,-45.58670820353064,21.777943090942905,7000.0,131280.0
Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,1000.0,0.192411,4.886096902191639E-9,954.0,1000.0,27.400000000000002,-12.139831882929714,-76.21359223300969,-76.21359223300969,1000.0,98352.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,2000.0,0.273,7.056335272888343E-9,1903.0,2000.0,33.35,3.9997464959547444,-43.17937701396347,-13.931623931623927,2000.0,104096.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,3000.0,0.336858,8.852401661376159E-9,2848.0,3000.0,35.63333333333333,19.773287870144898,-46.2878787878788,8.091385054735838,3000.0,108720.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,4000.0,0.397619,1.0562242267446386E-8,3797.0,4000.0,38.550000000000004,26.97452687002439,-53.72107567229516,19.934853420195438,4000.0,108776.0
