Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,1000.0,0.170626,4.34595301333401E-9,965.0,1000.0,55.7,1.7520514526502835,-7.524271844660173,-7.524271844660173,1000.0,98648.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,2000.0,0.237442,6.150543238553736E-9,1922.0,2000.0,39.95,-0.9286104458170421,-29.001074113856056,-2.6495726495726424,2000.0,104400.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,3000.0,0.291159,7.66349673892061E-9,2880.0,3000.0,28.933333333333334,-0.7164790174002097,-61.51515151515154,-1.475487862922422,3000.0,108872.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,4000.0,0.327826,8.697067232181629E-9,3821.0,4000.0,22.475,-0.5871095397190957,-93.93370856785488,-1.009771986970685,4000.0,108960.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,5000.0,0.363326,9.698036178532574E-9,4767.0,5000.0,18.4,-0.49706637240074825,-110.20092735703247,-8.858057630736395,5000.0,108992.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,6000.0,0.403064,1.0818583321654135E-8,5718.0,6000.0,15.75,-0.42713817423264056,-110.4496253122398,-13.315400134498992,6000.0,109000.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,7000.0,0.438281,1.1812374451094204E-8,6665.0,7000.0,15.257142857142858,-0.3841402534987209,-105.33056420906888,-10.321740747628787,7000.0,109080.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,8000.0,0.473305,1.280129918621646E-8,7610.0,8000.0,14.5375,-0.3434307854878491,-104.33353257621039,-7.213423239767916,8000.0,109144.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,9000.0,0.504606,1.3685620913488997E-8,8564.0,9000.0,14.466666666666667,-0.33003109156444366,-99.32677369238736,-4.351362342415618,9000.0,109208.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,10000.0,0.546217,1.4861567169427871E-8,9515.0,10000.0,14.34,-0.31772353953157656,-100.70290534208061,-2.256177629222872,10000.0,109240.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,11000.0,0.578784,1.5782330174826913E-8,10459.0,11000.0,14.454545454545453,-0.2986382020468639,-98.56509812196668,-0.3626279863481259,11000.0,109288.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,12000.0,0.604767,1.6517105837249093E-8,11408.0,12000.0,15.633333333333333,-0.2679026834836297,-94.24405218726017,-0.3270240808641367,12000.0,109312.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,13000.0,0.63032,1.7239880143768258E-8,12354.0,13000.0,14.73846153846154,-0.24439842021083802,-93.84400139909057,-1.242236024844721,13000.0,109336.0
