Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,1000.0,0.152618,3.890436362061236E-9,934.0,1000.0,17.8,-1.430390618059054,-99.5145631067961,-99.5145631067961,1000.0,98728.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,2000.0,0.223448,5.8447765517565944E-9,1878.0,2000.0,25.35,-0.7259283246977541,-60.365198711063364,-27.606837606837605,2000.0,106656.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,3000.0,0.265445,7.028502327286535E-9,2819.0,3000.0,25.566666666666666,-0.4306870844247469,-69.16666666666669,-6.282722513089012,3000.0,108952.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,4000.0,0.303275,8.095638431194757E-9,3772.0,4000.0,21.425,-0.3080411112969257,-96.56035021888678,-2.3778501628664515,4000.0,109040.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,5000.0,0.339612,9.121034923526978E-9,4723.0,5000.0,18.68,-0.24057738572574316,-109.47964966512109,-8.484525080042692,5000.0,109080.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,6000.0,0.377186,1.0181571700506743E-8,5680.0,6000.0,16.083333333333332,-0.19804785944332967,-109.61698584512907,-12.86707016364044,6000.0,109104.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,7000.0,0.413095,1.1195782238824503E-8,6632.0,7000.0,16.428571428571427,-0.1712916856898352,-102.49221183800626,-8.79672679933048,7000.0,109176.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,8000.0,0.448425,1.2194224507030516E-8,7575.0,8000.0,16.7125,-0.149555467041434,-99.13329348475793,-4.484867492551357,8000.0,109240.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,9000.0,0.479331,1.3068218142208128E-8,8518.0,9000.0,17.333333333333336,-0.1365182568493299,-92.64629725530813,-0.85400569337129,9000.0,109312.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff) -t 0.95,1,10000.0,0.511259,1.3971575558599501E-8,9460.0,10000.0,15.72,-0.1267289799923312,-97.46954076850986,-0.6088098364569647,10000.0,109368.0
