Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff,1,1000.0,1.123905,5.847665108740329E-9,1000.0,64.3,39.08047350000597,13.349514563106807,13.349514563106807,1000.0,20112.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff,1,2000.0,1.603657,9.60478918833865E-9,2000.0,68.60000000000001,55.53288141617861,32.54564983888294,46.32478632478634,2000.0,30272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff,1,3000.0,1.939709,1.2254625678890282E-8,3000.0,66.03333333333333,57.66589374956378,22.80303030303029,51.499286054259876,3000.0,30480.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff,1,4000.0,2.229248,1.4543091048383052E-8,4000.0,68.075,61.70165801530014,20.13758599124453,58.403908794788265,4000.0,30552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff,1,5000.0,2.512129,1.6780689112428162E-8,5000.0,69.0,62.55678143311092,20.14425553838226,58.64461045891141,5000.0,30576.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff,1,6000.0,2.812124,1.9155522096488212E-8,6000.0,66.60000000000001,59.62818308726414,16.569525395503753,55.0773369199731,6000.0,30600.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff,1,7000.0,3.076699,2.1258722847948473E-8,7000.0,65.15714285714286,58.22124343935508,15.57632398753894,54.64013390366376,7000.0,30728.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff,1,8000.0,3.339592,2.3352905462185543E-8,8000.0,64.21249999999999,57.608866128599345,14.435146443514634,55.104281009879244,8000.0,30792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff,1,9000.0,3.611024,2.5519041303131315E-8,9000.0,63.03333333333333,56.45632140624137,13.852925945106154,54.900366002440016,9000.0,30848.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/covtypeNorm.arff,1,10000.0,3.884292,2.7703788056969642E-8,10000.0,64.14999999999999,58.0520048427059,16.002811621368306,57.20424973140742,10000.0,30904.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
