Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,1000.0,1.155419,3.129683408472273E-8,938.0,1000.0,51.6,4.26609279068296,-245.7142857142857,1.2244897959183685,1000.0,104704.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,2000.0,2.09011,5.5133026453355945E-8,1883.0,2000.0,42.75,3.740096579368591,-308.9285714285714,-45.304568527918775,2000.0,98576.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,3000.0,3.120114,8.524545132699939E-8,2827.0,3000.0,42.833333333333336,3.219544347457072,-268.0257510729614,-43.03586321934947,3000.0,113008.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,4000.0,3.956885,1.0743828954589034E-7,3788.0,4000.0,42.3,2.743820987950848,-263.464566929134,-45.15723270440253,4000.0,102520.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,5000.0,4.962158,1.3313477665599847E-7,4743.0,5000.0,41.64,2.9441128386778157,-267.0440251572326,-50.1028806584362,5000.0,98808.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,6000.0,5.880144,1.5846763093852333E-7,5685.0,6000.0,42.03333333333333,2.915186915713935,-267.26504751847926,-47.24809483488567,6000.0,106672.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,7000.0,6.80748,1.8162301892621647E-7,6638.0,7000.0,42.34285714285714,2.9007356956788386,-254.65729349736375,-45.02335609054977,7000.0,96520.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,8000.0,7.737335,2.0629617734294796E-7,7571.0,8000.0,43.85,3.0929151687633034,-243.16271963330786,-35.79201934703749,8000.0,102568.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,9000.0,8.715438,2.3218681529785194E-7,8526.0,9000.0,44.94444444444444,3.107116532969908,-234.57123565158676,-29.238393322900357,9000.0,102320.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,10000.0,9.757089,2.592033869835237E-7,9470.0,10000.0,45.62,3.2230979521416625,-234.8522167487685,-25.617925617925636,10000.0,100256.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,11000.0,10.678106,2.836992185024751E-7,10417.0,11000.0,46.02727272727273,3.2547079390484033,-229.28452579034945,-23.430353430353435,11000.0,102808.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,12000.0,11.445018,3.0242189414385284E-7,11374.0,12000.0,46.150000000000006,3.3328741653166882,-232.92117465224123,-22.87507130633199,12000.0,94368.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,13000.0,12.295076,3.248985180300142E-7,12327.0,13000.0,46.62307692307692,3.4667927993099803,-232.9654510556623,-20.55246699096594,13000.0,102208.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,14000.0,13.141419,3.4686003262797983E-7,13285.0,14000.0,47.05,3.557501723163213,-239.73418881759864,-18.456375838926192,14000.0,100304.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,15000.0,14.150984,3.7419776185519155E-7,14240.0,15000.0,46.85333333333334,3.4465589703653383,-242.5870219166308,-19.269898264512264,15000.0,104672.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,16000.0,15.093643,3.982566609481969E-7,15190.0,16000.0,46.612500000000004,3.257580415402056,-242.91449217181858,-20.225193525686127,16000.0,98656.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,17000.0,16.060707,4.2239604310856915E-7,16140.0,17000.0,46.13529411764706,3.1971933162042547,-245.41682384006035,-22.665773610180853,17000.0,96488.0
