Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,1000.0,1.066004,7.983163566225104E-8,949.0,1000.0,54.0,8.587962226956224,-228.57142857142853,6.122448979591842,1000.0,289480.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,2000.0,2.048988,1.5455475503371822E-7,1883.0,2000.0,55.300000000000004,15.883840664799937,-219.28571428571422,-13.451776649746176,2000.0,293840.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,3000.0,2.949335,2.2300167922137513E-7,2835.0,3000.0,57.03333333333334,15.996068954910282,-176.60944206008585,-7.506255212677239,3000.0,293864.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,4000.0,3.777301,2.860059698815975E-7,3787.0,4000.0,59.175,19.03211395597785,-157.16535433070874,-2.70440251572328,4000.0,294144.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,5000.0,4.557446,3.452663604459829E-7,4731.0,5000.0,60.12,19.686725061479528,-150.81761006289307,-2.5720164609053517,5000.0,293624.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,6000.0,5.425724,4.108026994061139E-7,5680.0,6000.0,60.983333333333334,21.496605787319858,-147.20168954593444,0.889077053344638,6000.0,291760.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,7000.0,6.181276,4.6818091426872547E-7,6632.0,7000.0,60.371428571428574,20.12452971661198,-143.76098418277675,0.3233920229967783,7000.0,293552.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,8000.0,6.953894,5.269463010546234E-7,7583.0,8000.0,59.550000000000004,18.291906959832755,-147.21161191749422,2.176541717049579,8000.0,294008.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,9000.0,7.771863,5.892067961022258E-7,8532.0,9000.0,59.58888888888889,18.336828585927087,-145.5773126266036,5.138236828377689,9000.0,294224.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,10000.0,8.561867,6.493403433470262E-7,9478.0,10000.0,60.019999999999996,19.157840656181122,-146.18226600985227,7.646107646107625,10000.0,294232.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,11000.0,9.309765,7.061419408437278E-7,10409.0,11000.0,60.68181818181818,20.510993926856138,-139.87798114254025,10.083160083160077,11000.0,293576.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,12000.0,9.993742,7.584965277649462E-7,11354.0,12000.0,60.958333333333336,20.732028856812605,-141.3704276146317,10.914622551815947,12000.0,295880.0
