Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,1000.0,0.127986,2.6670823370416956E-9,954.0,1000.0,77.0,54.033096170757055,-64.28571428571426,53.06122448979592,1000.0,80744.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,2000.0,0.165176,3.444927380316787E-9,1895.0,2000.0,79.10000000000001,55.497070046334166,-49.28571428571424,46.95431472081219,2000.0,80848.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,3000.0,0.190972,3.984515339963966E-9,2843.0,3000.0,72.89999999999999,39.614603016150305,-74.46351931330474,32.19349457881567,3000.0,80856.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,4000.0,0.222083,4.647706627017921E-9,3791.0,4000.0,70.35,32.019813988786126,-86.77165354330714,25.408805031446533,4000.0,82400.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,5000.0,0.235746,4.940260706676377E-9,4743.0,5000.0,71.48,33.33996505630482,-79.3710691823899,26.64609053497943,5000.0,82768.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,6000.0,0.25049,5.255961310532358E-9,5675.0,6000.0,72.31666666666666,36.05168225270556,-75.39598732840547,29.678238780694326,6000.0,82768.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,7000.0,0.270478,5.702603823608822E-9,6620.0,7000.0,71.94285714285714,35.26922362336217,-72.58347978910368,29.42867409270571,7000.0,86376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,8000.0,0.287691,6.089232433587312E-9,7567.0,8000.0,72.475,38.92548798590572,-68.22001527883879,33.43409915356711,8000.0,86824.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,9000.0,0.300078,6.369000350435574E-9,8519.0,9000.0,73.67777777777778,43.27790045706503,-59.9594868332208,38.21074595722483,9000.0,87304.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,10000.0,0.315225,6.711104543258746E-9,9471.0,10000.0,73.74000000000001,44.370617941598475,-61.699507389162534,39.33933933933935,10000.0,87304.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,11000.0,0.331958,7.105617620464828E-9,10414.0,11000.0,74.00909090909092,45.6169837836275,-58.569051580698826,40.561330561330564,11000.0,91136.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,12000.0,0.344078,7.392574248628484E-9,11364.0,12000.0,73.55000000000001,45.042176032011064,-63.523956723338515,39.6463205932687,12000.0,91520.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,13000.0,0.3559,7.67247534253531E-9,12310.0,13000.0,73.16153846153847,44.85001763067982,-67.41842610364685,39.384989576094526,13000.0,91520.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,14000.0,0.369127,7.984929881576033E-9,13251.0,14000.0,73.37142857142858,45.69262793240248,-70.852428964253,40.428251837647814,14000.0,91312.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,15000.0,0.378246,8.200362146728568E-9,14207.0,15000.0,73.88666666666667,46.790930258454345,-68.32831972496776,41.39736684619988,15000.0,91320.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,16000.0,0.386938,8.405724718338913E-9,15158.0,16000.0,73.9375,46.721601763297784,-67.40264953833804,41.30893736805067,16000.0,91328.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,17000.0,0.396097,8.630120149917071E-9,16123.0,17000.0,74.3529411764706,47.41292223425494,-64.46623915503582,41.594105827193566,17000.0,94704.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,18000.0,0.405001,8.85022142695056E-9,17083.0,18000.0,74.75555555555556,48.204723616233316,-62.86738351254479,42.32770656174641,18000.0,95552.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,19000.0,0.412681,9.040829133656288E-9,18038.0,19000.0,75.52631578947368,49.59358796207019,-59.02872777017778,43.52683993198932,19000.0,95936.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,20000.0,0.420732,9.240644582443766E-9,18988.0,20000.0,75.275,49.049168881181785,-62.23753280839895,43.43399679707162,20000.0,95936.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,21000.0,0.428213,9.426313365499177E-9,19934.0,21000.0,74.45238095238095,47.13008303671775,-66.04766326214802,41.595906814718035,21000.0,95936.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,22000.0,0.436995,9.645398159821827E-9,20878.0,22000.0,74.88181818181818,47.62823973263297,-61.673493270918655,41.58562367864695,22000.0,96432.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,23000.0,0.450928,1.008024227288034E-8,21831.0,23000.0,74.4695652173913,46.64034020781458,-64.52787895769119,40.60888034793164,23000.0,120640.0
