Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,1000.0,0.116281,2.4749044825633367E-9,943.0,1000.0,75.4,50.94598474938583,-75.7142857142857,49.795918367346935,1000.0,82464.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,2000.0,0.143479,3.055358057220777E-9,1888.0,2000.0,79.7,58.21807284462888,-44.99999999999996,48.4771573604061,2000.0,82496.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,3000.0,0.166679,3.5504872186316388E-9,2842.0,3000.0,78.83333333333333,55.14434338382597,-36.26609442060087,47.03919933277731,3000.0,82496.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,4000.0,0.186139,3.9657981445391975E-9,3794.0,4000.0,79.4,55.88024270149986,-29.763779527559077,48.176100628930826,4000.0,82496.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,5000.0,0.199384,4.248469943801562E-9,4738.0,5000.0,78.9,53.626471469422846,-32.704402515723224,45.73045267489713,5000.0,82496.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,6000.0,0.212691,4.5324649330642485E-9,5692.0,6000.0,78.41666666666667,52.49276630525299,-36.74762407602952,45.173581710414915,6000.0,82496.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,7000.0,0.22813,4.863941648768054E-9,6652.0,7000.0,77.14285714285715,49.327902490958884,-40.59753954305796,42.50808480057493,7000.0,82992.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,8000.0,0.256872,5.663771683143244E-9,7599.0,8000.0,74.6125,45.18248214584538,-55.15660809778452,38.60338573155986,8000.0,107568.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,9000.0,0.2707,6.048576140569315E-9,8545.0,9000.0,74.92222222222222,46.78063308645919,-52.39702903443617,41.131977047470016,9000.0,107568.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,10000.0,0.284924,6.444400453733073E-9,9495.0,10000.0,74.37,46.01491041634616,-57.82019704433496,40.7946407946408,10000.0,107568.0
