Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,1000.0,0.111869,2.380768720888429E-9,946.0,1000.0,75.3,50.69348515215153,-76.42857142857142,49.59183673469388,1000.0,82456.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,2000.0,0.158002,3.468825988885429E-9,1905.0,2000.0,74.25,45.94787485935952,-83.92857142857137,34.64467005076144,2000.0,91168.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,3000.0,0.180097,4.011616617855099E-9,2849.0,3000.0,74.16666666666667,45.30081025380425,-66.30901287553648,35.3628023352794,3000.0,94960.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,4000.0,0.195377,4.404444671753381E-9,3806.0,4000.0,76.05,48.99371738898945,-50.866141732283545,39.74842767295596,4000.0,99376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,5000.0,0.206556,4.69320661491818E-9,4748.0,5000.0,77.48,51.32291015333197,-41.63522012578611,42.07818930041154,5000.0,99848.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,6000.0,0.217673,4.980459082871677E-9,5706.0,6000.0,77.58333333333334,51.88210722741482,-42.02745512143605,43.05673158340391,6000.0,99880.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,7000.0,0.228799,5.267944102072054E-9,6645.0,7000.0,78.60000000000001,54.348956299421744,-31.634446397188015,46.17319439453828,7000.0,99880.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,8000.0,0.242174,5.626052895353901E-9,7599.0,8000.0,78.53750000000001,54.75392141465015,-31.168831168831122,48.09552599758163,8000.0,103496.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,9000.0,0.252614,5.90655086355077E-9,8543.0,9000.0,79.05555555555556,56.496943631424365,-27.278865631330167,50.83463745435577,9000.0,103856.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,10000.0,0.263885,6.209422478245365E-9,9492.0,10000.0,79.17,57.061511662365525,-28.263546798029594,51.882651882651864,10000.0,103872.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,11000.0,0.272954,6.4531224759088636E-9,10442.0,11000.0,79.24545454545454,57.41409816683743,-26.622296173044962,52.53638253638252,11000.0,103872.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,12000.0,0.284796,6.7707251591814905E-9,11396.0,12000.0,78.60000000000001,56.15243415032152,-32.3029366306028,51.16942384483744,12000.0,103672.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,13000.0,0.304571,7.419041103372973E-9,12348.0,13000.0,77.22307692307693,53.45067026294392,-42.082533589251454,48.55802640722725,13000.0,126728.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,14000.0,0.317112,7.831387002434996E-9,13292.0,14000.0,76.88571428571429,52.84242040378481,-48.304307974335494,48.29018855864494,14000.0,127096.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,15000.0,0.330878,8.288825530972747E-9,14237.0,15000.0,76.53999999999999,52.02667464122659,-51.224752900730564,47.35188509874326,15000.0,128448.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,16000.0,0.344766,8.75408336106274E-9,15190.0,16000.0,75.93124999999999,50.556005803474356,-54.59654757125658,45.798733286418006,16000.0,129496.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,17000.0,0.363021,9.365109853032563E-9,16133.0,17000.0,75.90588235294118,50.212514170936196,-54.507732930969425,45.130609511051574,17000.0,129384.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,18000.0,0.378733,9.895114950421784E-9,17084.0,18000.0,76.08333333333334,50.52654971736354,-54.30107526881716,45.361086432288374,18000.0,130392.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,19000.0,0.392415,1.0356728014432722E-8,18031.0,19000.0,76.56315789473685,51.293526542567015,-52.29138166894659,45.91935875637601,19000.0,130416.0
