Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,1000.0,0.17061,3.559555051227411E-9,947.0,1000.0,76.6,53.3120510774142,-67.14285714285711,52.244897959183675,1000.0,80840.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,2000.0,0.213108,4.466449817021688E-9,1898.0,2000.0,79.75,57.41862225586676,-44.64285714285714,48.60406091370558,2000.0,82488.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,3000.0,0.255399,5.411989906181892E-9,2850.0,3000.0,73.1,40.497783597738476,-73.17596566523608,32.693911592994155,3000.0,86424.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,4000.0,0.285443,6.0868833151956406E-9,3809.0,4000.0,71.65,35.71843996476417,-78.58267716535437,28.67924528301887,4000.0,86832.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,5000.0,0.322753,6.959975815067689E-9,4761.0,5000.0,70.3,30.402352203653653,-86.79245283018867,23.611111111111107,5000.0,90456.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,6000.0,0.357245,7.773548842718205E-9,5711.0,6000.0,69.51666666666667,28.901091012564052,-93.1362196409714,22.56562235393736,6000.0,91176.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,7000.0,0.390653,8.56162238245209E-9,6669.0,7000.0,67.85714285714286,24.649087211002954,-97.71528998242528,19.15199425080849,7000.0,91184.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,8000.0,0.429019,9.50278013323744E-9,7634.0,8000.0,65.75,21.502027195823224,-109.32009167303285,17.17049576783554,8000.0,94824.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,9000.0,0.454469,1.012935988811983E-8,8581.0,9000.0,64.47777777777777,20.20937627597611,-115.86765698852126,16.61450182576944,9000.0,95168.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,10000.0,0.493615,1.1095890139953957E-8,9535.0,10000.0,64.32,21.14851954798477,-119.70443349753697,17.57911757911757,10000.0,95440.0
