Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,1000.0,0.107309,1.724285955230395E-9,955.0,1000.0,51.800000000000004,4.6888347517955005,-244.28571428571425,1.6326530612244914,1000.0,62304.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,2000.0,0.142598,2.295560377339522E-9,1903.0,2000.0,54.449999999999996,12.134843598092615,-225.35714285714286,-15.609137055837563,2000.0,62576.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,3000.0,0.160675,2.5881990955935584E-9,2863.0,3000.0,55.93333333333334,7.941667606747986,-183.69098712446353,-10.258548790658892,3000.0,62576.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,4000.0,0.178466,2.8762079154451686E-9,3822.0,4000.0,57.175,6.543126828014792,-169.76377952755917,-7.735849056603788,4000.0,62576.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,5000.0,0.215094,3.668223971294032E-9,4767.0,5000.0,57.99999999999999,6.522154071432018,-164.1509433962264,-8.024691358024691,5000.0,83584.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,6000.0,0.230332,4.030737785829438E-9,5698.0,6000.0,57.56666666666666,9.115139861304806,-168.8489968321013,-7.7900084674004955,6000.0,91960.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,7000.0,0.245162,4.385632305509514E-9,6664.0,7000.0,56.214285714285715,8.996251773841426,-169.3321616871704,-10.132950053898664,7000.0,92504.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,8000.0,0.256078,4.646861474547121E-9,7609.0,8000.0,56.137499999999996,10.992852033543182,-168.0672268907563,-6.076178960096751,8000.0,92504.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,9000.0,0.266572,4.897991824481223E-9,8549.0,9000.0,56.322222222222216,12.721482282749522,-165.42876434841324,-2.5299947835159093,9000.0,92504.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,10000.0,0.278829,5.1914391004376945E-9,9496.0,10000.0,55.410000000000004,11.574937810945274,-174.56896551724137,-3.003003003003006,10000.0,92544.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,11000.0,0.292478,5.519116462932693E-9,10450.0,11000.0,55.118181818181824,11.490852788982611,-173.82140876317249,-2.640332640332636,11000.0,92800.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,12000.0,0.30334,5.779907608197796E-9,11402.0,12000.0,54.68333333333333,11.065369978609393,-180.16486347243702,-3.403688914242256,12000.0,92808.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,13000.0,0.313803,6.0311406188540994E-9,12349.0,13000.0,54.738461538461536,11.504301919203872,-182.34165067178512,-2.2237665045170236,13000.0,92816.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,14000.0,0.324236,6.281674874739515E-9,13282.0,14000.0,53.85714285714286,9.901753460912346,-196.05866177818524,-3.227868328539476,14000.0,92824.0
