Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,1000.0,0.122482,2.7333767174018755E-9,951.0,1000.0,52.800000000000004,6.595320267232377,-237.1428571428571,3.6734693877551052,1000.0,86456.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,2000.0,0.158642,3.5583791757623355E-9,1903.0,2000.0,49.2,8.625205053673698,-262.85714285714283,-28.934010152284262,2000.0,88192.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,3000.0,0.174937,3.930155034694407E-9,2860.0,3000.0,48.266666666666666,7.20245291660539,-233.0472103004292,-29.441201000834038,3000.0,88192.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,4000.0,0.191449,4.308043714198801E-9,3812.0,4000.0,48.375,8.134970858989172,-225.19685039370088,-29.874213836478,4000.0,88464.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,5000.0,0.207293,4.686351555089156E-9,4760.0,5000.0,47.02,7.424544538544373,-233.20754716981128,-36.265432098765416,5000.0,92296.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,6000.0,0.219061,4.9686517525050374E-9,5707.0,6000.0,46.08333333333333,6.252916012465606,-241.6050686378035,-36.96020321761218,6000.0,92728.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,7000.0,0.229848,5.2274189372029565E-9,6659.0,7000.0,45.74285714285714,5.829736508159828,-233.7434094903339,-36.471433704635295,7000.0,92728.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,8000.0,0.24078,5.48966449788875E-9,7612.0,8000.0,46.9125,6.245833270786408,-224.44614209320088,-28.3857315598549,8000.0,92728.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,9000.0,0.251712,5.751910058574544E-9,8566.0,9000.0,47.81111111111111,6.489773003276935,-217.15057393652936,-22.509128847157005,9000.0,92728.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,10000.0,0.261778,5.993381318532758E-9,9525.0,10000.0,48.07,6.2319817521261225,-219.76600985221677,-19.958419958419967,10000.0,92728.0
