Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,1000.0,0.100124,1.6183663573529984E-9,933.0,1000.0,49.9,-1.281688432458661,-257.85714285714283,-2.2448979591836755,1000.0,62672.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,2000.0,0.123122,1.9912396288580363E-9,1888.0,2000.0,60.050000000000004,0.5526237180125735,-185.3571428571428,-1.3959390862944032,2000.0,62672.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,3000.0,0.13658,2.2094381021128757E-9,2830.0,3000.0,59.66666666666667,0.320457372579078,-159.65665236051504,-0.9174311926605606,3000.0,62672.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,4000.0,0.171582,2.811851965056525E-9,3781.0,4000.0,60.0,4.000422398141416,-151.968503937008,-0.6289308176100775,4000.0,66528.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,5000.0,0.194985,3.240889041788048E-9,4714.0,5000.0,64.3,16.255560443123983,-124.5283018867924,8.179012345679025,5000.0,70864.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,6000.0,0.206885,3.4590465947985648E-9,5649.0,6000.0,64.71666666666667,21.473095972958355,-123.54804646251314,10.37256562235395,6000.0,70864.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,7000.0,0.216249,3.6307127566801177E-9,6605.0,7000.0,64.18571428571428,23.17554953844043,-120.29876977152894,9.91735537190084,7000.0,70864.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,8000.0,0.224734,3.78626459174686E-9,7554.0,8000.0,64.725,26.864969201392423,-115.58441558441557,14.691656590084637,8000.0,70864.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,9000.0,0.23298,3.937434943185912E-9,8504.0,9000.0,63.911111111111104,26.938484563405453,-119.31127616475354,15.284298382889933,9000.0,70864.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,10000.0,0.248763,4.241084944870737E-9,9443.0,10000.0,62.44,25.10579404787271,-131.28078817733996,13.236313236313215,10000.0,74368.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,11000.0,0.258604,4.43137373154362E-9,10397.0,11000.0,64.87272727272727,29.82502484785845,-114.30948419301168,19.66735966735966,11000.0,74744.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,12000.0,0.268111,4.616286351035039E-9,11350.0,12000.0,65.83333333333333,31.737937947954176,-111.23132405976308,22.0384103441719,12000.0,75184.0
