Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,1000.0,0.098485,1.591670357932647E-9,954.0,1000.0,50.5,-0.16593144198471063,-253.57142857142853,-1.020408163265307,1000.0,62664.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,2000.0,0.123508,1.9973755441606043E-9,1915.0,2000.0,60.35,0.26662642116911917,-183.21428571428567,-0.6345177664974484,2000.0,62672.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,3000.0,0.139106,2.2502704606288007E-9,2868.0,3000.0,59.86666666666667,0.1633539806131095,-158.36909871244634,-0.4170141784820781,3000.0,62672.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,4000.0,0.17885,2.9752608285182053E-9,3826.0,4000.0,61.9,6.766181328765461,-140.00000000000009,4.150943396226405,4000.0,70512.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,5000.0,0.19691,3.3069450304740006E-9,4768.0,5000.0,66.4,17.783505961870326,-111.32075471698106,13.580246913580263,5000.0,70992.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,6000.0,0.213555,3.614191979997688E-9,5724.0,6000.0,68.55,25.533048409437985,-99.26082365364303,20.11007620660458,6000.0,71352.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,7000.0,0.223504,3.797838714801603E-9,6674.0,7000.0,70.58571428571429,31.77628187031728,-80.93145869947274,26.01509162773985,7000.0,71352.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,8000.0,0.233535,3.982999072306686E-9,7622.0,8000.0,70.8,34.38880475276713,-78.4568372803667,29.383313180169274,8000.0,71352.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,9000.0,0.249811,4.3002434861328865E-9,8573.0,9000.0,72.53333333333333,40.28376484987734,-66.9142471303173,35.52425665101723,9000.0,75344.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,10000.0,0.26102,4.519675359543826E-9,9528.0,10000.0,73.52,43.47004516546988,-63.05418719211826,38.831138831138816,10000.0,75672.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,11000.0,0.271295,4.720822874870564E-9,10473.0,11000.0,74.73636363636363,46.65525350734421,-54.13200221852471,42.22453222453222,11000.0,75672.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,12000.0,0.286793,5.041185472574498E-9,11424.0,12000.0,75.04166666666666,47.31346150733811,-54.301906233900134,43.05000950751093,12000.0,79904.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,13000.0,0.298026,5.27385026630428E-9,12373.0,13000.0,75.49230769230769,48.64791948319111,-52.87907869481771,44.64906184850591,13000.0,80064.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,14000.0,0.308944,5.512847685151629E-9,13322.0,14000.0,76.12142857142857,50.23644546549414,-53.2080659945005,46.58037711728987,14000.0,84616.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s (ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff) -t 0.95,1,15000.0,0.317765,5.705996081233023E-9,14275.0,15000.0,75.69333333333333,49.1477198763701,-56.68242372152985,45.45182525433872,15000.0,84640.0
