Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,1000.0,0.791645,2.569000257386102E-9,1000.0,87.6,75.2237851662404,11.428571428571438,74.6938775510204,1000.0,12544.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,2000.0,0.956879,3.3100475826197204E-9,2000.0,89.60000000000001,78.62193718138465,25.714285714285733,73.6040609137056,2000.0,17336.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,3000.0,1.142578,5.071403158621656E-9,3000.0,88.2,75.61792041523921,24.034334763948497,70.47539616346955,3000.0,36664.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,4000.0,1.252294,6.281226051764357E-9,4000.0,88.52499999999999,76.13182719442888,27.71653543307083,71.1320754716981,4000.0,42624.0,16.0,11.0,11.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,5000.0,1.357386,7.557945208003124E-9,5000.0,88.34,75.45519457336664,26.666666666666654,70.01028806584361,5000.0,46960.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,6000.0,1.441467,8.579410432527463E-9,6000.0,87.75,74.33002530209659,22.38648363252375,68.88230313293818,6000.0,46960.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,7000.0,1.500701,9.299019751035506E-9,7000.0,87.4,73.56768671535224,22.495606326889288,68.30758174631693,7000.0,46960.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,8000.0,1.5626,1.005100505012605E-8,8000.0,86.2,71.46502294170801,15.66080977845684,66.62636033857315,8000.0,46960.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,9000.0,1.621672,1.0768646297769415E-8,9000.0,86.6,72.60717323593123,18.568534773801485,68.54460093896714,9000.0,46960.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,10000.0,1.693009,1.1633370634582308E-8,10000.0,86.39,72.3281699311429,16.194581280788174,68.56086856086856,10000.0,46856.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,11000.0,1.742723,1.2235987869401774E-8,11000.0,86.76363636363637,73.13986883347337,19.245701608430394,69.72972972972973,11000.0,46856.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,12000.0,1.787631,1.2784437748293083E-8,12000.0,86.125,71.8500533778217,14.219474497681556,68.33998859098688,12000.0,47208.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,13000.0,1.832452,1.3331825118511917E-8,13000.0,85.6076923076923,70.874104956204,10.220729366602658,67.49478804725504,13000.0,47208.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,14000.0,1.881536,1.3931275413682065E-8,14000.0,85.85714285714286,71.43029114718306,9.25756186984413,68.36049856184083,14000.0,47208.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,15000.0,1.925139,1.4463968144522774E-8,15000.0,85.28,70.18381891696971,5.113880532874955,66.96588868940754,15000.0,47224.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
