Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,1000.0,1.966009,6.157411096203659E-8,954.0,1000.0,12.2,1.4936391593076703,2.4444444444444438,-0.6880733944954135,1000.0,121064.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,2000.0,3.700515,1.2867000749334695E-7,1899.0,2000.0,11.200000000000001,0.9620234529289411,1.4975041597337768,-1.427755568246716,2000.0,149528.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,3000.0,5.441082,1.8903353781749808E-7,2855.0,3000.0,10.7,1.4144094426277156,1.1439114391143912,-1.1706948640483383,3000.0,134056.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,4000.0,7.259643,2.5144704539949697E-7,3797.0,4000.0,10.45,1.1301442790525786,0.6930967563071796,-1.0437235543018346,4000.0,132664.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,5000.0,8.882008,3.034907116347717E-7,4748.0,5000.0,10.100000000000001,0.9766020157330678,0.4650132860938894,-1.0339402112834344,5000.0,124000.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,6000.0,10.75781,3.766851552099817E-7,5690.0,6000.0,9.966666666666667,1.0311000882390235,0.27690603655159707,-0.953092879835544,6000.0,150832.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,7000.0,12.509253,4.362115625685288E-7,6646.0,7000.0,9.857142857142858,1.0059849356524322,0.4574854077930272,-1.2678542770020866,7000.0,131376.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,8000.0,14.253684,4.920987647420002E-7,7607.0,8000.0,10.037500000000001,1.037499166589505,0.7720943058044953,-0.7559848803023931,8000.0,123840.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,9000.0,16.127267,5.490797748665014E-7,8567.0,9000.0,10.0,1.0107293370590806,0.6744328632740663,-0.6711409395973145,9000.0,117560.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,10000.0,17.846792,6.045498361997306E-7,9517.0,10000.0,10.08,0.9480260897964308,0.6299038567797544,-0.6266786034019689,10000.0,124696.0
