Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,1000.0,2.107404,2.6618206277489664E-7,947.0,1000.0,17.8,7.965774912500306,8.666666666666666,5.7339449541284395,1000.0,488240.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,2000.0,4.197079,5.406557064813873E-7,1894.0,2000.0,17.4,8.082942347362462,8.374930671103714,5.653912050256995,2000.0,507720.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,3000.0,6.31408,8.238272154207032E-7,2846.0,3000.0,17.266666666666666,8.332610064577125,8.413284132841328,6.268882175226585,3000.0,517048.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,4000.0,8.612476,1.1284700181956093E-6,3777.0,4000.0,17.025000000000002,8.048167910306654,7.98447463265872,6.375176304654444,4000.0,512352.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,5000.0,10.69871,1.40849759047644E-6,4737.0,5000.0,16.46,7.5028006034971675,7.506643046944199,6.113733423241176,5000.0,518848.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,6000.0,13.017667,1.7137443656474352E-6,5700.0,6000.0,16.916666666666664,7.994052558374405,7.974893852685988,6.8398430199962625,6000.0,508816.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,7000.0,15.067,1.980688257670651E-6,6638.0,7000.0,17.457142857142856,8.659834077786023,8.849976336961666,7.2701011073663935,7000.0,503512.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,8000.0,17.157365,2.2516704116016626E-6,7582.0,8000.0,17.549999999999997,8.732305771543578,9.058320694884873,7.657846843063138,8000.0,501096.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,9000.0,19.225488,2.5315569170502324E-6,8530.0,9000.0,18.46666666666667,9.717685060393062,10.018393623543838,8.799403430275914,9000.0,523128.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,10000.0,21.273761,2.8018472892252933E-6,9480.0,10000.0,18.41,9.59417446533719,9.8353409216488,8.69516562220233,10000.0,510088.0
