Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,1000.0,0.17407,2.4767618419395553E-9,944.0,1000.0,38.2,31.26192210796772,31.333333333333336,29.12844036697248,1000.0,56760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,2000.0,0.212427,3.0399903758532472E-9,1895.0,2000.0,45.25,39.13547359688507,39.267886855241265,37.464306110793835,2000.0,56760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,3000.0,0.238181,3.4181583155360488E-9,2841.0,3000.0,48.56666666666667,42.840843421696036,43.06273062730627,41.729607250755286,3000.0,56760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,4000.0,0.265958,3.8260316890147E-9,3788.0,4000.0,50.525,45.01698354253296,45.13446077072359,44.174894217207324,4000.0,56760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,5000.0,0.28564,4.115039275752174E-9,4721.0,5000.0,51.68000000000001,46.29293425308166,46.50132860938884,45.695661946504835,5000.0,56760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,6000.0,0.303642,4.379377990133233E-9,5676.0,6000.0,52.2,46.884746226966534,47.05556581133469,46.402541581012905,6000.0,56760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,7000.0,0.321287,4.638474569138554E-9,6631.0,7000.0,53.15714285714286,47.93857582098981,48.27259820160909,47.376023110255176,7000.0,56760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,8000.0,0.339568,4.906910078393089E-9,7564.0,8000.0,54.125,49.014059373127864,49.40024817316973,48.62102757944841,8000.0,56760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,9000.0,0.357443,5.169383943494823E-9,8515.0,9000.0,55.03333333333333,50.02477288322196,50.37400367872471,49.70171513795675,9000.0,56760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,10000.0,0.37656,5.450095153517193E-9,9453.0,10000.0,55.7,50.765167095909945,51.044314288871696,50.42524619516563,10000.0,56760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,11000.0,0.393729,5.7022022186881966E-9,10398.0,11000.0,56.45454545454546,51.59885365067828,51.87380689239425,51.2070897422838,11000.0,56760.0
