Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,1000.0,0.130805,1.848169778370195E-9,946.0,1000.0,25.4,17.125107759578384,17.11111111111111,14.449541284403669,1000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,2000.0,0.159603,2.268174541079336E-9,1903.0,2000.0,39.0,32.187260987887086,32.334997226844145,30.32552826956025,2000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,3000.0,0.182504,2.6021744393640096E-9,2855.0,3000.0,44.266666666666666,38.026048086894,38.30258302583026,36.85800604229607,3000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,4000.0,0.204351,2.920802262508207E-9,3806.0,4000.0,47.075,41.16265184680694,41.308566675907954,40.2820874471086,4000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,5000.0,0.221197,3.166492943548494E-9,4756.0,5000.0,48.94,43.28066247830757,43.46767050487157,42.61631827376938,5000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,6000.0,0.241322,3.4600062378578716E-9,5700.0,6000.0,50.366666666666674,44.8455278128341,45.02492154328964,44.34685105587741,6000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,7000.0,0.260115,3.734092962824636E-9,6654.0,7000.0,51.31428571428571,45.91575045070208,46.23757690487459,45.30572941742898,7000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,8000.0,0.277099,3.981796306454473E-9,7609.0,8000.0,52.425,47.1643857419083,47.52516200193024,46.71706565868682,8000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,9000.0,0.294121,4.2300538615220124E-9,8550.0,9000.0,53.27777777777778,48.107655751796386,48.436541998773755,47.738006462838676,9000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,10000.0,0.311803,4.487937194191747E-9,9494.0,10000.0,54.08,48.992670784412525,49.25406122223449,48.61235452103849,10000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,11000.0,0.328143,4.726248112403684E-9,10441.0,11000.0,54.71818181818182,49.708070729777745,49.95478750125591,49.26148517877152,11000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,12000.0,0.344478,4.964486108058029E-9,11387.0,12000.0,55.333333333333336,50.38736499474092,50.65365494384092,49.967329412862874,12000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,13000.0,0.360078,5.192004487746292E-9,12339.0,13000.0,55.7,50.801019686603944,51.020581731587015,50.400482301266045,13000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,14000.0,0.375907,5.422862720572286E-9,13292.0,14000.0,55.85,50.96271639237101,51.165363040214906,50.59942455242966,14000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,15000.0,0.393404,5.678047918611103E-9,14248.0,15000.0,56.333333333333336,51.499235874780624,51.67478235207319,51.14492429327962,15000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,16000.0,0.411235,5.938104343497092E-9,15197.0,16000.0,56.706250000000004,51.90808487395107,52.08218040951854,51.66759698576612,16000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,17000.0,0.428801,6.194295872830683E-9,16145.0,17000.0,56.88235294117647,52.100697687299366,52.3127968251903,51.858662813608305,17000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,18000.0,0.445592,6.439184405737454E-9,17085.0,18000.0,57.111111111111114,52.35207112253003,52.547790275984994,52.112151851622116,18000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,19000.0,0.463375,6.698540774070555E-9,18030.0,19000.0,57.44210526315789,52.71830958117813,52.8952580682745,52.53302025242148,19000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,20000.0,0.478983,6.926175829850966E-9,18973.0,20000.0,57.635000000000005,52.93148546926406,53.07896777051722,52.75717870086423,20000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,21000.0,0.494363,7.150485617005163E-9,19924.0,21000.0,57.74285714285714,53.05268886042517,53.230736797723196,52.90058914070378,21000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,22000.0,0.509855,7.37642886944943E-9,20872.0,22000.0,57.95454545454546,53.29293817433049,53.473165333735736,53.1218325562538,22000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,23000.0,0.526015,7.612114575588041E-9,21822.0,23000.0,58.24782608695652,53.61660606186558,53.80952380952381,53.46707370257305,23000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,24000.0,0.54257,7.853561163776452E-9,22778.0,24000.0,58.325,53.708592255936225,53.87382401770891,53.535259685961165,24000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,25000.0,0.557627,8.07316015371018E-9,23731.0,25000.0,58.436,53.82875003674238,53.98751273081521,53.671585893263185,25000.0,56376.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,26000.0,0.570556,8.261723303132589E-9,24673.0,26000.0,58.48076923076923,53.87644647223819,54.01099135176587,53.727120750996626,26000.0,56376.0
