Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,1000.0,0.125197,1.6642534298201402E-9,952.0,1000.0,30.9,22.981239076934052,23.22222222222222,20.756880733944953,1000.0,53144.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,2000.0,0.154646,2.0841839019623066E-9,1899.0,2000.0,42.9,36.441379555996846,36.66112035496395,34.780125642490006,2000.0,55120.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,3000.0,0.177197,2.4057517676717704E-9,2848.0,3000.0,47.36666666666667,41.50962220426614,41.73431734317343,40.370090634441084,3000.0,55120.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,4000.0,0.197417,2.694080544428693E-9,3807.0,4000.0,50.575,45.08100308978388,45.18990851122817,44.23131170662906,4000.0,55120.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,5000.0,0.216334,2.9638290839890637E-9,4752.0,5000.0,52.339999999999996,47.019244442400996,47.23206377325066,46.43740166329511,5000.0,55120.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,6000.0,0.236461,3.250831719487905E-9,5713.0,6000.0,53.28333333333334,48.07168182817322,48.25549196972494,47.61726780041114,6000.0,55120.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,7000.0,0.257038,3.5442511675258474E-9,6659.0,7000.0,54.35714285714286,49.25140662552669,49.597728348319926,48.72412132883967,7000.0,55120.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,8000.0,0.275899,3.8132011704146856E-9,7617.0,8000.0,55.400000000000006,50.41066601529705,50.80656280159934,50.0489990200196,8000.0,55120.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,9000.0,0.29503,4.086001260826984E-9,8575.0,9000.0,56.31111111111111,51.420790196828584,51.7841814837523,51.13099676858066,9000.0,55120.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,10000.0,0.314547,4.364305550439489E-9,9525.0,10000.0,56.769999999999996,51.93797470561091,52.22676538844071,51.62264995523724,10000.0,55120.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,11000.0,0.333068,4.628407294965452E-9,10471.0,11000.0,57.345454545454544,52.570427887853235,52.85843464282125,52.20535805235815,11000.0,55120.0
