Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,1000.0,0.197997,2.6184668764472007E-9,947.0,1000.0,29.599999999999998,21.685105152207885,21.777777777777775,19.266055045871557,1000.0,52880.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,2000.0,0.240051,3.213874672849973E-9,1898.0,2000.0,41.3,34.71882525024682,34.88630061009429,32.952598515134206,2000.0,54728.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,3000.0,0.27626,3.726527949588167E-9,2848.0,3000.0,47.86666666666667,42.0479169363357,42.28782287822878,40.93655589123867,3000.0,54728.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,4000.0,0.304756,4.129979239983692E-9,3798.0,4000.0,50.7,45.19958279986642,45.3285278624896,44.372355430183354,4000.0,54728.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,5000.0,0.331285,4.505581404599879E-9,4742.0,5000.0,53.02,47.785068850354804,47.98494242692649,47.201618341200266,5000.0,54728.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,6000.0,0.357634,4.878689630164041E-9,5696.0,6000.0,54.1,48.97840243177012,49.160051689126824,48.53298448888059,6000.0,54736.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,7000.0,0.383946,5.251273926761415E-9,6644.0,7000.0,55.01428571428571,49.99345511581949,50.323394857233005,49.46236559139785,7000.0,54736.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,8000.0,0.409902,5.618817177083757E-9,7585.0,8000.0,55.9125,51.000655663185704,51.37184613263477,50.622987540249184,8000.0,54736.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,9000.0,0.436496,5.995394662022591E-9,8533.0,9000.0,56.599999999999994,51.77205591922696,52.10300429184549,51.45413870246085,9000.0,54736.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,10000.0,0.464232,6.388143143720097E-9,9476.0,10000.0,57.089999999999996,52.32017145981912,52.58039562382583,51.98075201432408,10000.0,54736.0
