Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,1000.0,0.142686,1.4437400922179223E-9,949.0,1000.0,13.5,3.0426668310644573,3.888888888888889,0.8027522935779824,1000.0,40872.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,2000.0,0.182704,1.8672891499267687E-9,1896.0,2000.0,13.65,3.703055239429223,4.215196894065447,1.3706453455168488,2000.0,40912.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,3000.0,0.205581,2.109513179295593E-9,2858.0,3000.0,13.566666666666666,4.245368197423672,4.317343173431733,2.0770392749244704,3000.0,40928.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,4000.0,0.247235,2.580722591115369E-9,3808.0,4000.0,13.775,4.637357561730134,4.380371499861381,2.7080394922425963,4000.0,43728.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,5000.0,0.266944,2.8387184503177807E-9,4760.0,5000.0,13.26,4.250610570697268,3.963684676705048,2.517419644864013,5000.0,50600.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,6000.0,0.286692,3.1145130822228067E-9,5711.0,6000.0,13.083333333333332,4.096804299552666,3.72900129222817,2.541581012894786,6000.0,53984.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,7000.0,0.30648,3.4024970957802408E-9,6666.0,7000.0,13.057142857142857,4.139757492172569,3.9911657990219265,2.3270743058899033,7000.0,56256.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,8000.0,0.326312,3.6915319061113735E-9,7623.0,8000.0,13.225000000000001,4.243299815614556,4.287880876878534,2.8139437211255784,8000.0,56336.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,9000.0,0.345529,3.9719217788014154E-9,8565.0,9000.0,13.244444444444445,4.303049494614779,4.255058246474556,2.957991548595576,9000.0,56400.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,10000.0,0.364145,4.243696739690172E-9,9525.0,10000.0,13.36,4.332003459109179,4.254613769477289,3.0438675022381383,10000.0,56432.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,11000.0,0.383749,4.529936083902916E-9,10476.0,11000.0,13.59090909090909,4.482380468453376,4.5011554305234585,3.1781603341142906,11000.0,56440.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,12000.0,0.403031,4.817300180180206E-9,11420.0,12000.0,13.808333333333334,4.632680609103009,4.7781255754004786,3.453747783067302,12000.0,57608.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,13000.0,0.421869,5.098047241982487E-9,12371.0,13000.0,13.86923076923077,4.687082034837982,4.771219595169247,3.565584359658945,13000.0,57608.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,14000.0,0.440636,5.377813854979145E-9,13327.0,14000.0,14.000000000000002,4.820859062103638,4.874772852966739,3.772378516624042,14000.0,57624.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,15000.0,0.459118,5.653408368428549E-9,14275.0,15000.0,14.226666666666668,4.967921441527168,5.075992326988345,4.035205489669576,15000.0,57640.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,16000.0,0.477736,5.931030847132206E-9,15215.0,16000.0,14.4625,5.202431722825931,5.326508024349751,4.507396036840637,16000.0,57640.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,17000.0,0.496191,6.2062227498326044E-9,16167.0,17000.0,14.458823529411765,5.270796869732738,5.393273046646282,4.49231577564692,17000.0,57640.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,18000.0,0.514747,6.48292071496447E-9,17122.0,18000.0,14.572222222222223,5.408108701969738,5.482820087282563,4.615098318962843,18000.0,57640.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,19000.0,0.533278,6.759245892365775E-9,18058.0,19000.0,14.83157894736842,5.649490899802594,5.732261447046487,5.007337833871441,19000.0,57640.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,20000.0,0.552167,7.040909390068718E-9,19011.0,20000.0,14.93,5.745838968106506,5.781371137446005,5.135210482297183,20000.0,57640.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,21000.0,0.570353,7.312127734637925E-9,19956.0,21000.0,15.04761904761905,5.838570614622697,5.976599557288923,5.312881481874636,21000.0,57648.0
