Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,1000.0,0.167462,1.6944311517808171E-9,946.0,1000.0,13.100000000000001,2.6332714100360555,3.4444444444444446,0.34403669724770675,1000.0,40872.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,2000.0,0.192616,1.960660173661179E-9,1897.0,2000.0,14.000000000000002,4.102115635564623,4.603438713255686,1.7704169046259297,2000.0,40912.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,3000.0,0.211307,2.158485038412942E-9,2843.0,3000.0,14.299999999999999,5.296437621073033,5.1291512915129145,2.9078549848942585,3000.0,40912.0
Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,1000.0,0.109363,1.0407034597463079E-9,964.0,1000.0,15.7,5.4562827832862855,6.333333333333332,3.325688073394495,1000.0,38544.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,2000.0,0.134346,1.3047089841630724E-9,1909.0,2000.0,16.8,7.159384015903419,7.709373266777594,4.968589377498573,2000.0,40848.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,3000.0,0.152915,1.501204174839788E-9,2860.0,3000.0,17.133333333333333,8.417689016532707,8.265682656826568,6.117824773413898,3000.0,40904.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,4000.0,0.171177,1.694564109461175E-9,3796.0,4000.0,18.075,9.505292607953496,9.14887718325478,7.559943582510577,4000.0,40928.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,5000.0,0.186098,1.8525491923921638E-9,4753.0,5000.0,18.6,10.305358904401334,9.87599645704163,8.518768262530903,5000.0,40928.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,6000.0,0.200988,2.0102060441341664E-9,5705.0,6000.0,19.03333333333333,10.927593404938198,10.319364962156175,9.2132311717436,6000.0,40928.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,7000.0,0.21721,2.181966248899698E-9,6652.0,7000.0,19.642857142857142,11.636478284016539,11.26360624704212,9.725565719788156,7000.0,40928.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,8000.0,0.231952,2.3380560614168643E-9,7597.0,8000.0,20.25,12.186808937800013,12.036398731559355,10.681786364272716,8000.0,40928.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,9000.0,0.246188,2.488788293881549E-9,8534.0,9000.0,21.022222222222222,13.030651760302733,12.83874923359902,11.65796669152374,9000.0,40928.0
