Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,1000.0,0.129669,1.3233014258245628E-9,947.0,1000.0,20.4,10.719292932691767,11.555555555555554,8.715596330275227,1000.0,41208.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,2000.0,0.157979,1.6252770585318408E-9,1906.0,2000.0,22.95,13.4695266457425,14.531336661120356,11.993146773272418,2000.0,41232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,3000.0,0.178544,1.8448089746137462E-9,2855.0,3000.0,23.666666666666668,14.497268206387911,15.498154981549817,13.519637462235648,3000.0,41264.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,4000.0,0.199236,2.0657394433187114E-9,3799.0,4000.0,24.375,15.396016215157577,16.13529248683116,14.668547249647393,4000.0,41272.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,5000.0,0.216346,2.248459965404537E-9,4752.0,5000.0,25.080000000000002,16.357491564298005,17.05048715677591,15.801303663744662,5000.0,41280.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,6000.0,0.233563,2.4323587906029488E-9,5688.0,6000.0,25.4,16.78728007934086,17.371238693003505,16.352083722668663,6000.0,41288.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,7000.0,0.250777,2.616261198288864E-9,6640.0,7000.0,25.61428571428571,16.939013150065758,17.857706262817477,16.433959236077673,7000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,8000.0,0.267626,2.7962641997469792E-9,7593.0,8000.0,25.75,17.216733194948933,18.102853991451813,16.841663166736666,8000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,9000.0,0.284823,2.979984991252422E-9,8532.0,9000.0,26.04444444444444,17.589333937913004,18.38136112814224,17.275664926671638,9000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,10000.0,0.302649,3.170425581435362E-9,9475.0,10000.0,26.0,17.634017106412898,18.223008067189745,17.18889883616831,10000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,11000.0,0.319586,3.351368713710043E-9,10424.0,11000.0,26.009090909090908,17.67539571009447,18.22566060484276,17.092798207191606,11000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,12000.0,0.335916,3.5258270800113674E-9,11369.0,12000.0,26.216666666666665,17.95520411905524,18.486466580740196,17.35274899654625,12000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,13000.0,0.352463,3.702603723439905E-9,12313.0,13000.0,26.361538461538466,18.163465296973133,18.58309236264671,17.552321074842826,13000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,14000.0,0.369033,3.879626082877318E-9,13266.0,14000.0,26.435714285714283,18.20922528986002,18.630007110689736,17.687020460358056,14000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,15000.0,0.385716,4.057855655749639E-9,14237.0,15000.0,26.493333333333336,18.32812723497063,18.65132064335252,17.759379428656672,15000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,16000.0,0.402218,4.2341515504651604E-9,15194.0,16000.0,26.5875,18.44198111187349,18.746541228555614,18.043538933854304,16000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,17000.0,0.444254,4.7695369107855694E-9,16157.0,17000.0,25.958823529411763,17.764806400893328,18.112029145794025,17.332194929725464,17000.0,49232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,18000.0,0.466161,5.06804791589578E-9,17106.0,18000.0,25.43888888888889,17.144282545809535,17.505685659843873,16.74834067365548,18000.0,52672.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,19000.0,0.488757,5.389368931452433E-9,18061.0,19000.0,24.973684210526315,16.62035473215821,16.95794011417919,16.31934253008512,19000.0,54968.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,20000.0,0.510882,5.710540177921454E-9,19020.0,20000.0,24.57,16.192968894519876,16.4580795215417,15.885140786172292,20000.0,56112.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,21000.0,0.536097,6.076879637936751E-9,19969.0,21000.0,24.347619047619048,15.957667887365881,16.269632128175402,15.678573324133538,21000.0,56160.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,22000.0,0.564523,6.490105858279599E-9,20927.0,22000.0,24.10909090909091,15.693156029201258,16.020320909410994,15.38617474153659,22000.0,56192.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,23000.0,0.591897,6.888209208846093E-9,21886.0,23000.0,23.91304347826087,15.466274640202673,15.824915824915827,15.200852837137182,23000.0,56216.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,24000.0,0.62011,7.298514236592585E-9,22834.0,24000.0,23.695833333333333,15.237017606233335,15.546024718686589,14.92613583573353,24000.0,56216.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,25000.0,0.650525,7.752362524883615E-9,23788.0,25000.0,23.512,15.019572785144842,15.325687464021609,14.744304248963397,25000.0,57680.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,26000.0,0.684562,8.260750882327556E-9,24751.0,26000.0,23.315384615384616,14.801753331754641,15.05985600477144,14.535556603369198,26000.0,57736.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,27000.0,0.716964,8.7448524352577E-9,25691.0,27000.0,23.137037037037036,14.589947393915653,14.883930768599788,14.254431268850967,27000.0,57752.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,28000.0,0.74353,9.141816306445333E-9,26645.0,28000.0,23.039285714285715,14.44608991724287,14.745212850134518,14.120038259206124,28000.0,57760.0
