Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,1000.0,0.126119,1.2852457579639224E-9,955.0,1000.0,17.4,8.40957552384511,8.22222222222222,5.275229357798163,1000.0,41152.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,2000.0,0.157157,1.6163845153318513E-9,1907.0,2000.0,19.0,10.17959091793686,10.149750415973378,7.481439177612794,2000.0,41240.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,3000.0,0.177345,1.8319755088951855E-9,2855.0,3000.0,21.566666666666666,13.059178876644289,13.173431734317345,11.140483383685801,3000.0,41280.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,4000.0,0.198228,2.0550317420727678E-9,3806.0,4000.0,23.175,14.787046993363,14.804546714721376,13.314527503526094,4000.0,41288.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,5000.0,0.215884,2.2436196294923625E-9,4750.0,5000.0,24.38,16.04727943670811,16.27546501328609,15.014610024724655,5000.0,41288.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,6000.0,0.232124,2.4171164983676543E-9,5695.0,6000.0,25.416666666666664,17.288563229335434,17.389699095440278,16.37077181835171,6000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,7000.0,0.248962,2.597001983473699E-9,6644.0,7000.0,26.171428571428574,18.209805820411425,18.472945259504655,17.05986198042048,7000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,8000.0,0.267464,2.7946644876566204E-9,7594.0,8000.0,27.175,19.357655907277497,19.67461739969668,18.43763124737505,8000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,9000.0,0.283571,2.96674047700233E-9,8540.0,9000.0,28.46666666666667,20.663958134033056,21.054567749846722,19.985085756897842,9000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,10000.0,0.300493,3.147523359706005E-9,9492.0,10000.0,29.459999999999997,21.742651586170165,22.04663498729141,21.060877350044763,10000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,11000.0,0.31696,3.323445338755847E-9,10439.0,11000.0,30.254545454545458,22.637096691024393,22.917713252285743,21.849852297035753,11000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,12000.0,0.334255,3.508213094125192E-9,11391.0,12000.0,31.116666666666664,23.54899276229577,23.899834284662123,22.841407635582932,12000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,13000.0,0.350058,3.6770413588318566E-9,12337.0,13000.0,31.73076923076923,24.246935254238018,24.519476101377784,23.563861855137365,13000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,14000.0,0.366181,3.849288281053305E-9,13290.0,14000.0,32.364285714285714,24.920075583757228,25.187643201390536,24.32065217391304,14000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,15000.0,0.38194,4.017646480351687E-9,14234.0,15000.0,32.93333333333333,25.550007460540503,25.77836800944371,24.964570746624894,15000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,16000.0,0.397987,4.189081471413374E-9,15186.0,16000.0,33.73125,26.4025636174261,26.65329275041505,26.018699413898965,16000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,17000.0,0.413786,4.357867002901104E-9,16129.0,17000.0,34.36470588235294,27.06490391868283,27.408756749723505,26.71745698147905,17000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,18000.0,0.429313,4.523746675501268E-9,17077.0,18000.0,34.81666666666667,27.575148276693085,27.881246542504144,27.21915513925935,18000.0,41296.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.LEDGenerator -t 0.95,1,19000.0,0.445801,4.699893003950517E-9,18028.0,19000.0,35.4,28.22204040239843,28.49819410462542,27.94834164954505,19000.0,41296.0
