Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,generators.LEDGenerator,1,1000.0,0.863179,3.787253217564689E-9,1000.0,69.5,66.06397774687066,66.11111111111111,65.0229357798165,1000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,2000.0,1.017059,4.462411585781309E-9,2000.0,72.0,68.85366757797497,68.94065446478092,68.01827527127355,2000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,3000.0,1.129096,4.953981108135647E-9,3000.0,72.3,69.21025983798891,69.33579335793357,68.6178247734139,3000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,4000.0,1.232765,5.408835493856006E-9,4000.0,72.175,69.07560653002048,69.14333240920432,68.6036671368124,4000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,5000.0,1.339456,5.8769490983751085E-9,5000.0,72.3,69.21709036915442,69.33126660761737,68.86940885592267,5000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,6000.0,1.441807,6.32602067457305E-9,6000.0,72.33333333333334,69.25292574155554,69.35573195495662,68.97776116613717,6000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,7000.0,1.52864,6.707006030612521E-9,7000.0,72.64285714285714,69.59335070432732,69.79018772677078,69.26657037393676,7000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,8000.0,1.607401,7.052574969000286E-9,8000.0,72.775,69.74241091337615,69.97104646353233,69.50860982780344,8000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,9000.0,1.678328,7.363771729999118E-9,9000.0,72.84444444444445,69.8208733827718,70.03065603923973,69.62465821526224,9000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,10000.0,1.764274,7.7408653166559E-9,10000.0,73.07000000000001,70.07367620884484,70.23980550337055,69.86347358997315,10000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,11000.0,1.829593,8.02745661801762E-9,11000.0,73.24545454545455,70.2686680859238,70.4310258213604,70.02139146378731,11000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,12000.0,1.896589,8.321405864424175E-9,12000.0,73.275,70.30230072437877,70.47505063524213,70.06440772892746,12000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,13000.0,1.963877,8.616636279556486E-9,13000.0,73.29230769230769,70.32204838253058,70.47116856608267,70.09732150546894,13000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,14000.0,2.029883,8.906241837475035E-9,14000.0,73.13571428571429,70.14822105020637,70.28521766611361,69.9408567774936,14000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,15000.0,2.096868,9.200142820676167E-9,15000.0,73.05333333333334,70.05689190537979,70.17854507894349,69.8515700753338,15000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,16000.0,2.171544,9.527788559595744E-9,16000.0,73.18124999999999,70.20072137987431,70.31682346430547,70.0600055819146,16000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,17000.0,2.243247,9.842390070358912E-9,17000.0,73.21764705882353,70.24148602902149,70.37928566781602,70.0972021542099,17000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,18000.0,2.310752,1.0138572586907281E-8,18000.0,73.21111111111111,70.233628668098,70.36080890036266,70.088704174679,18000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,19000.0,2.382035,1.0451331320736144E-8,19000.0,73.38421052631578,70.42597549765767,70.54060351858324,70.31405928969767,19000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,20000.0,2.47392,1.0854482650756837E-8,20000.0,73.43499999999999,70.48271101049046,70.5781371137446,70.37635907443546,20000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,21000.0,2.566371,1.1260117342074713E-8,21000.0,73.47142857142858,70.5233677827956,70.63876884157268,70.43150575871769,21000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,22000.0,2.637298,1.1571314103073544E-8,22000.0,73.5409090909091,70.60065489266918,70.7207886927217,70.49969592540036,22000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,23000.0,2.71651,1.1918861832883624E-8,23000.0,73.6,70.66631664638705,70.79365079365078,70.57711876726268,23000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,24000.0,2.800915,1.2289194183217155E-8,24000.0,73.45833333333334,70.50892173887476,70.62350119904077,70.40787884418843,24000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,25000.0,2.881642,1.2643389072683122E-8,25000.0,73.368,70.40805500103079,70.51764601691538,70.3152169066833,25000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,26000.0,2.967622,1.3020631836520302E-8,26000.0,73.35769230769232,70.39646181257237,70.48949857282835,70.30734279223284,26000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,27000.0,3.044897,1.3359680854611928E-8,27000.0,73.32592592592593,70.36102415323208,70.46181609383973,70.24335826137256,27000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.LEDGenerator,1,28000.0,3.126381,1.3717197130123775E-8,28000.0,73.42142857142858,70.46692577516386,70.55705016616554,70.34114458791647,28000.0,16960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
