Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,1000.0,1.627897,4.3323320487721094E-8,950.0,1000.0,50.3,0.4031967167122261,-2.26337448559671,-3.75782881002088,1000.0,102872.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,2000.0,3.189941,8.812690633659562E-8,1903.0,2000.0,50.349999999999994,1.1822307141151183,-1.5337423312883565,-1.8461538461538478,2000.0,110872.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,3000.0,4.675156,1.283845888533526E-7,2864.0,3000.0,51.16666666666667,2.7707353850810015,1.7437961099933021,0.0,3000.0,104776.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,4000.0,6.205637,1.7434806866157384E-7,3803.0,4000.0,51.300000000000004,3.5213709078302187,0.45988758303525284,-0.0513610683102152,4000.0,116088.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,5000.0,7.83291,2.1531078439619805E-7,4746.0,5000.0,51.28,3.7262524756106683,0.3680981595092073,-0.041067761806977,5000.0,97304.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,6000.0,9.338998,2.531543826725748E-7,5704.0,6000.0,50.983333333333334,3.3459203828040587,0.8094435075885337,-0.6502395619438709,6000.0,97128.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,7000.0,10.752162,2.934946635613839E-7,6645.0,7000.0,50.885714285714286,3.0917539804621184,0.8650519031141971,-0.6145741878841096,7000.0,110344.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,8000.0,12.279663,3.392295495731135E-7,7600.0,8000.0,50.849999999999994,3.221002912969039,1.3052208835341266,-0.7946680338374925,8000.0,115736.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,9000.0,13.720625,3.755023303483095E-7,8554.0,9000.0,50.77777777777778,3.252375121431984,0.7616487455197114,-1.0492700729926914,9000.0,97304.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,10000.0,15.184006,4.102315352691544E-7,9512.0,10000.0,50.94,3.4384835629900503,1.048810004033881,-0.4916018025399567,10000.0,91736.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,11000.0,16.692306,4.460267654806375E-7,10471.0,11000.0,51.17272727272727,3.8175327706743256,1.4495412844036688,0.130159910747494,11000.0,91736.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,12000.0,18.169847,4.811592923125459E-7,11423.0,12000.0,51.06666666666667,3.7301690419209157,1.0448264239973233,-0.17059024223812516,12000.0,91912.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,13000.0,19.616957,5.205817814564539E-7,12377.0,13000.0,50.88461538461539,3.4073776305706938,0.5451713395638564,-0.535348763974169,13000.0,105304.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,14000.0,21.284123,5.624728000184728E-7,13331.0,14000.0,50.92857142857142,3.277378354760457,0.8801038811138324,-0.16037323224962027,14000.0,97128.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,15000.0,23.047446,6.042399926814767E-7,14289.0,15000.0,51.06666666666667,3.083106825672826,1.1048234977095253,0.6765899864682159,15000.0,91560.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,16000.0,24.536098,6.405733140392435E-7,15246.0,16000.0,51.24999999999999,2.9528206226126907,1.4778325123152596,1.6145307769929378,16000.0,94344.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,17000.0,26.109193,6.845608931552204E-7,16176.0,17000.0,51.32941176470588,3.159472303187715,1.9435885280872107,1.745635910224425,17000.0,108088.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,18000.0,27.690444,7.242931183758708E-7,17125.0,18000.0,51.5,3.3271504707427657,2.272472853464692,2.29434806939004,18000.0,97128.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,19000.0,29.112673,7.639326036369634E-7,18062.0,19000.0,51.515789473684215,3.408286629513329,2.1353447360034155,2.2910479422995342,19000.0,107736.0
