Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,1000.0,1.782976,1.6005623671743606E-7,960.0,1000.0,57.599999999999994,15.081453709378287,12.757201646090524,11.482254697286,1000.0,347000.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,2000.0,3.518444,3.1671692049337757E-7,1920.0,2000.0,58.699999999999996,17.614613930710508,15.541922290388541,15.282051282051281,2000.0,348936.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,3000.0,5.077019,4.583320062628223E-7,2872.0,3000.0,59.233333333333334,18.63171770683822,17.974513749161645,16.518771331058023,3000.0,351224.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,4000.0,6.529459,5.90832516428911E-7,3822.0,4000.0,59.150000000000006,18.592253808826317,16.504854368932037,16.076014381099135,4000.0,352632.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,5000.0,7.975921,7.229193953321212E-7,4774.0,5000.0,59.64,19.592059998826965,17.46421267893661,17.1252566735113,5000.0,352984.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,6000.0,9.530099,8.649841267470684E-7,5719.0,6000.0,58.95,18.1871630576676,16.930860033726812,15.708418891170433,6000.0,353336.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,7000.0,10.936368,9.942971029877662E-7,6674.0,7000.0,59.21428571428572,18.6420944215793,17.675893886966563,16.44717588527949,7000.0,355448.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,8000.0,12.422101,1.1300377475656569E-6,7618.0,8000.0,59.112500000000004,18.443337380415453,17.89658634538153,16.149705203793896,8000.0,353160.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,9000.0,13.868847,1.2622164328210056E-6,8574.0,9000.0,59.55555555555555,19.307900214710926,18.458781362007155,16.970802919708028,9000.0,353160.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,10000.0,15.273716,1.3899294649395677E-6,9521.0,10000.0,59.540000000000006,19.227474477099737,18.39451391690199,17.124129455141336,10000.0,351400.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,11000.0,16.761732,1.5261496960288948E-6,10457.0,11000.0,60.14545454545455,20.40682569566867,19.559633027522942,18.482707326143558,11000.0,353864.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,12000.0,18.256667,1.6634117243087126E-6,11413.0,12000.0,60.06666666666667,20.23546517313457,19.245028648466477,18.25315591948142,12000.0,354920.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,13000.0,19.863728,1.8111152873767746E-6,12359.0,13000.0,60.253846153846155,20.586838565720125,19.5171339563863,18.64273342780666,13000.0,355272.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,14000.0,21.371401,1.9491350159732004E-6,13308.0,14000.0,59.471428571428575,19.003554887031612,18.13591112393595,17.276570928706807,14000.0,353864.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,15000.0,22.792295,2.0787577059927087E-6,14259.0,15000.0,59.58,19.201587122659998,18.310428455941796,17.95669824086604,15000.0,352632.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,16000.0,24.290871,2.214989400777138E-6,15199.0,16000.0,59.175,18.369051897996876,17.49400025262094,17.608476286579222,16000.0,351400.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,17000.0,25.713433,2.344764256015834E-6,16145.0,17000.0,58.91764705882353,17.855690919099107,17.23157146243185,17.064481653010326,17000.0,352632.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,18000.0,27.158053,2.476419826756335E-6,17094.0,18000.0,58.705555555555556,17.42484509243105,16.79167133101982,16.81029658645775,18000.0,352280.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,19000.0,28.610671,2.6096641110359795E-6,18045.0,19000.0,58.48421052631579,16.985532610934506,16.20099861893128,16.33432329232075,19000.0,354568.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,20000.0,30.045763,2.741496812922673E-6,18999.0,20000.0,58.25,16.503829969319302,15.656565656565661,16.130976295701092,20000.0,355096.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,21000.0,31.513227,2.876570585243818E-6,19959.0,21000.0,58.15714285714285,16.3154971470889,15.395725014442505,16.01032307398202,21000.0,355800.0
