Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,1000.0,0.108209,2.1911264624860554E-9,949.0,1000.0,62.2,24.375497661242242,22.22222222222222,21.08559498956158,1000.0,78464.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,2000.0,0.134424,2.72325669725736E-9,1914.0,2000.0,65.95,31.944916355205567,30.368098159509195,30.153846153846153,2000.0,78464.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,3000.0,0.157231,3.1862089865737494E-9,2852.0,3000.0,67.06666666666666,34.17490553743613,33.73574782025486,32.559726962457326,3000.0,78464.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,4000.0,0.194705,4.001326801048385E-9,3804.0,4000.0,67.95,35.97938556190323,34.49156872764434,34.15511042629687,4000.0,84080.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,5000.0,0.253468,5.4502626963787615E-9,4749.0,5000.0,68.67999999999999,37.45031174189458,35.95092024539876,35.68788501026693,5000.0,95312.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,6000.0,0.280268,6.111077869104015E-9,5704.0,6000.0,69.16666666666667,38.44874194219173,37.605396290050585,36.68720054757016,6000.0,95312.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,7000.0,0.303719,6.689315802521176E-9,6650.0,7000.0,69.11428571428571,38.34483545314551,37.65859284890428,36.72812408545508,7000.0,95312.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,8000.0,0.324475,7.2282510168022584E-9,7599.0,8000.0,69.35,38.84329017112905,38.45381526104418,37.14432196872596,8000.0,100368.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,9000.0,0.340216,7.636970385081238E-9,8540.0,9000.0,69.37777777777778,38.920037108958596,38.26164874551972,37.13503649635038,9000.0,100368.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,10000.0,0.355685,8.040868230164051E-9,9486.0,10000.0,69.65,39.453159288264416,38.78580072609924,37.83285538713642,10000.0,100928.0
