Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,1000.0,0.114176,2.311952379014757E-9,942.0,1000.0,58.699999999999996,17.32327600012811,15.020576131687232,13.778705636743204,1000.0,78464.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,2000.0,0.152566,3.146994618905915E-9,1909.0,2000.0,60.550000000000004,21.278697356999622,19.325153374233135,19.07692307692309,2000.0,84080.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,3000.0,0.188148,3.9209584891796115E-9,2856.0,3000.0,61.5,23.158736973576357,22.535211267605632,21.160409556313983,3000.0,84080.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,4000.0,0.214393,4.491828079852793E-9,3811.0,4000.0,61.824999999999996,23.990144105129538,21.97240674501787,21.571648690292754,4000.0,84080.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,5000.0,0.237678,5.032142984370391E-9,4763.0,5000.0,62.32,25.05670868158362,22.944785276073613,22.62833675564681,5000.0,89696.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,6000.0,0.261856,5.628306762211853E-9,5702.0,6000.0,62.2,24.892330771790917,23.507588532883638,22.381930184804926,6000.0,95312.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,7000.0,0.293044,6.438111708396011E-9,6658.0,7000.0,62.2,24.867355713845303,23.702422145328722,22.563652326602277,7000.0,100368.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,8000.0,0.323142,7.307008769777086E-9,7601.0,8000.0,62.287499999999994,25.11219828462999,24.272088353413647,22.660856190720317,8000.0,111592.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,9000.0,0.346276,7.978261957565943E-9,8558.0,9000.0,62.55555555555555,25.700389576889066,24.507168458781354,23.129562043795623,9000.0,112160.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,10000.0,0.368958,8.636399971114265E-9,9504.0,10000.0,62.580000000000005,25.704364124063,24.526018555869307,23.351085620647275,10000.0,112160.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,11000.0,0.388701,9.209260336226886E-9,10460.0,11000.0,62.6,25.712100260134058,24.513761467889914,23.503161026403877,11000.0,112160.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,12000.0,0.40889,9.795061780346764E-9,11406.0,12000.0,62.675000000000004,25.89681971783217,24.51971688574319,23.592630501535325,12000.0,112160.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,13000.0,0.425383,1.0273620560765265E-8,12345.0,13000.0,62.784615384615385,26.11370543185854,24.6417445482866,23.823019996850896,13000.0,112160.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,14000.0,0.441316,1.0735930452744165E-8,13293.0,14000.0,62.71428571428571,25.89797298711395,24.686192468619247,23.895611605190247,14000.0,112160.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,15000.0,0.464604,1.1507371283239787E-8,14233.0,15000.0,62.64666666666666,25.606987499460036,24.50821880894637,24.181326116373473,15000.0,128048.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,16000.0,0.480889,1.20681306016114E-8,15189.0,16000.0,62.8,25.74836520795066,24.820007578628267,24.924318869828465,16000.0,133104.0
