Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,1000.0,0.097829,1.9394357812901336E-9,949.0,1000.0,56.89999999999999,13.75377202180367,11.316872427983526,10.020876826722326,1000.0,76824.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,2000.0,0.122497,2.4296980661650495E-9,1914.0,2000.0,54.300000000000004,8.657089319175531,6.5439672801636055,6.256410256410273,2000.0,76824.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,3000.0,0.138485,2.7474503529568507E-9,2869.0,3000.0,52.233333333333334,4.492814411698853,3.8900067069081112,2.184300341296915,3000.0,76824.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,4000.0,0.151778,3.011641067763169E-9,3812.0,4000.0,50.74999999999999,1.5206806570620115,-0.6642820643842793,-1.1813045711350862,4000.0,76824.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,5000.0,0.187677,3.82942567889889E-9,4757.0,5000.0,50.260000000000005,0.5174532468031426,-1.7177914110429373,-2.1355236139630316,5000.0,88056.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,6000.0,0.220997,4.602596931573417E-9,5703.0,6000.0,50.416666666666664,0.7837251959313014,-0.3372681281618965,-1.8138261464750227,6000.0,89696.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,7000.0,0.246449,5.193195812818076E-9,6663.0,7000.0,50.37142857142857,0.6568949458306831,-0.17301038062284393,-1.668129938542599,7000.0,89696.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,8000.0,0.270862,5.7926277878383785E-9,7611.0,8000.0,50.6,1.0538813192381944,0.8032128514056233,-1.3073570879261769,8000.0,94912.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,9000.0,0.285559,6.155015869687E-9,8561.0,9000.0,50.81111111111111,1.4315299564233532,0.8288530465949729,-0.9808394160583924,9000.0,95312.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,10000.0,0.304444,6.6481059727569414E-9,9503.0,10000.0,50.839999999999996,1.4847230179662008,0.8471157724889031,-0.6964358869315997,10000.0,100928.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,11000.0,0.318027,7.002760082897212E-9,10444.0,11000.0,50.836363636363636,1.4706753853282037,0.7706422018348651,-0.5578281889178055,11000.0,100928.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,12000.0,0.330836,7.337204940203163E-9,11395.0,12000.0,51.025,1.833542962231716,0.9605662285136565,-0.25588536335721046,12000.0,100928.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,13000.0,0.346918,7.777144910974634E-9,12348.0,13000.0,51.05384615384615,1.8930133223118075,0.8878504672897067,-0.18894662257911982,13000.0,105744.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,14000.0,0.357339,8.0643790277342E-9,13310.0,14000.0,51.20714285714286,2.234357026871102,1.4427932477276177,0.40822277299897985,14000.0,106544.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,15000.0,0.371897,8.48528562941485E-9,14267.0,15000.0,51.27333333333334,2.429665525315796,1.5225006736728763,1.0960757780784989,15000.0,111760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,16000.0,0.381791,8.772368669095967E-9,15214.0,16000.0,51.21875,2.3844398420816777,1.4146772767462437,1.5514631685166635,16000.0,112160.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,17000.0,0.391747,9.061250692854326E-9,16166.0,17000.0,51.11176470588236,2.1649150243840167,1.5050959943114484,1.3062581641135256,17000.0,112160.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,18000.0,0.402834,9.382949668086238E-9,17107.0,18000.0,51.09444444444444,2.151353664951579,1.4552781820217209,1.477336317851141,18000.0,112160.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,19000.0,0.419535,9.886968990580904E-9,18054.0,19000.0,51.1,2.155350315206452,1.2960798895145105,1.4531183708103463,19000.0,116656.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,20000.0,0.434749,1.0350520331412555E-8,19004.0,20000.0,51.105000000000004,2.1975634421673162,1.222222222222222,1.7778224186420297,20000.0,117776.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,21000.0,0.449374,1.079612558707595E-8,19949.0,21000.0,51.114285714285714,2.2242932425451514,1.1554015020219441,1.873446759701772,21000.0,117776.0
