Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,1000.0,0.1891,3.748860831061999E-9,947.0,1000.0,63.6,27.222415496027224,25.102880658436217,24.008350730688935,1000.0,76824.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,2000.0,0.244855,4.856959326813618E-9,1896.0,2000.0,65.25,30.467319640230905,28.936605316973406,28.717948717948715,2000.0,76824.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,3000.0,0.274435,5.444844781110684E-9,2856.0,3000.0,64.83333333333333,29.6465299401251,29.24211938296445,27.986348122866882,3000.0,76824.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,4000.0,0.298744,5.9279721478621166E-9,3813.0,4000.0,65.275,30.523251451808953,29.02401635155851,28.65947611710325,4000.0,76824.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,5000.0,0.370028,7.448266471425692E-9,4763.0,5000.0,65.38000000000001,30.71849760880759,29.20245398773007,28.911704312115,5000.0,82440.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,6000.0,0.432164,8.799821163217227E-9,5714.0,6000.0,66.3,32.561897472071735,31.80438448566611,30.800821355236145,6000.0,84080.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,7000.0,0.470873,9.638918104271094E-9,6672.0,7000.0,66.97142857142858,33.91264578092842,33.33333333333333,32.338308457711435,7000.0,83792.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,8000.0,0.562629,1.1901371723247899E-8,7618.0,8000.0,67.2875,34.50719038224201,34.312248995983936,32.91463727249423,8000.0,95312.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,9000.0,0.632086,1.3714904118743208E-8,8576.0,9000.0,67.91111111111111,35.73397942211515,35.30465949820788,34.12408759124088,9000.0,100928.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,10000.0,0.657035,1.436632614582777E-8,9530.0,10000.0,68.65,37.214184347165705,36.76885841064946,35.784514543219984,10000.0,100928.0
