Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,1000.0,0.095096,1.5361116164260441E-9,951.0,1000.0,53.6,7.027070350852595,4.52674897119342,3.131524008350733,1000.0,62632.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,2000.0,0.118457,1.9146285723480912E-9,1904.0,2000.0,54.50000000000001,9.40992011149549,6.9529652351738305,6.666666666666683,2000.0,62632.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,3000.0,0.132291,2.138780088474353E-9,2860.0,3000.0,54.733333333333334,9.84503702903769,8.920187793427232,7.3037542662115955,3000.0,62632.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,4000.0,0.169499,2.7957173333399827E-9,3827.0,4000.0,54.125,9.073340898167102,6.234031681144604,5.752439650744741,4000.0,68248.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,5000.0,0.203956,3.444161026014222E-9,4778.0,5000.0,53.7,8.466185867020956,5.316973415132929,4.928131416837787,5000.0,72744.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,6000.0,0.222122,3.791289118429025E-9,5721.0,6000.0,53.36666666666666,7.993364210470917,5.632377740303528,4.243668720054745,6000.0,73864.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,7000.0,0.233779,4.014038880252176E-9,6669.0,7000.0,53.37142857142857,7.9444636943085625,5.882352941176469,4.4776119402984955,7000.0,73864.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,8000.0,0.245699,4.241814222186803E-9,7618.0,8000.0,53.412499999999994,8.204446210133002,6.4508032128513975,4.460394770571635,8000.0,73864.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,9000.0,0.256684,4.451722958021693E-9,8568.0,9000.0,53.68888888888888,8.894241009511655,6.63082437275985,4.927007299270077,9000.0,73864.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,10000.0,0.267615,4.6605998256968126E-9,9524.0,10000.0,54.08,9.53822138195732,7.382008874546181,5.940188447357624,10000.0,73864.0
