Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,1000.0,0.096011,1.5508918609056207E-9,948.0,1000.0,49.9,-0.397582442246338,-3.086419753086423,-4.592901878914409,1000.0,62632.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,2000.0,0.119477,1.9311101258628896E-9,1897.0,2000.0,49.9,0.2821358730537771,-2.453987730061352,-2.76923076923076,2000.0,62632.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,3000.0,0.134747,2.1785290684137076E-9,2846.0,3000.0,49.666666666666664,-0.22234759234062082,-1.2743125419181807,-3.07167235494882,3000.0,62632.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,4000.0,0.175965,2.9661502130329603E-9,3795.0,4000.0,49.275000000000006,-0.4918105860618885,-3.679100664282068,-4.211607601438102,4000.0,73864.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,5000.0,0.198079,3.388719333128796E-9,4742.0,5000.0,49.5,0.22148065158178867,-3.2719836400818028,-3.69609856262834,5000.0,73864.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,6000.0,0.214162,3.6960440667139155E-9,5691.0,6000.0,49.68333333333334,0.7913035477213946,-1.8212478920742008,-3.319644079397672,6000.0,73864.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,7000.0,0.228252,3.965285221735636E-9,6622.0,7000.0,49.92857142857143,1.2091659855125565,-1.0668973471741632,-2.5753585016096094,7000.0,73864.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,8000.0,0.249485,4.429596873621145E-9,7573.0,8000.0,50.3375,2.209877097777203,0.2761044176706858,-1.8456805947193047,8000.0,84528.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,9000.0,0.261309,4.688157650331656E-9,8513.0,9000.0,50.955555555555556,3.5746133117714773,1.1200716845878096,-0.6843065693430586,9000.0,84528.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,10000.0,0.272758,4.940200470801856E-9,9464.0,10000.0,51.67,4.829119729417753,2.521177894312236,1.0036870135190528,10000.0,85096.0
