Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,1000.0,0.107539,1.74734470124046E-9,948.0,1000.0,50.2,0.20080079839358309,-2.469135802469138,-3.9665970772442627,1000.0,63000.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,2000.0,0.132964,2.1617250392834345E-9,1911.0,2000.0,49.85,0.19801192051661573,-2.556237218813908,-2.871794871794863,2000.0,63000.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,3000.0,0.148813,2.420034340272347E-9,2864.0,3000.0,49.86666666666667,0.1981438447337961,-0.8718980549966511,-2.6621160409556452,3000.0,63000.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,4000.0,0.194726,3.301741691927115E-9,3820.0,4000.0,49.775000000000006,0.5135264958873416,-2.6571282575370487,-3.184386235233684,4000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,5000.0,0.221159,3.809357626984517E-9,4780.0,5000.0,51.66,4.140131026202686,1.1451942740286172,0.7392197125256543,5000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,6000.0,0.239863,4.168546839306752E-9,5727.0,6000.0,54.300000000000004,9.254727143658508,7.521079258010122,6.1601642710472335,6000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,7000.0,0.255045,4.4601000162462395E-9,6672.0,7000.0,55.442857142857136,11.33122961771669,10.0634371395617,8.72110038045067,7000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,8000.0,0.268277,4.714205643783013E-9,7628.0,8000.0,56.175,12.708636566665843,11.99799196787148,10.12560881825172,8000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,9000.0,0.281335,4.964969797680775E-9,8577.0,9000.0,57.07777777777778,14.422135884858434,13.463261648745528,11.88412408759126,9000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,10000.0,0.298949,5.326265740311808E-9,9529.0,10000.0,57.31,14.778205738866387,13.896732553448985,12.556329373207706,10000.0,79288.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,11000.0,0.312545,5.607114705360598E-9,10485.0,11000.0,57.372727272727275,14.835157758793047,13.963302752293588,12.811454072145793,11000.0,79848.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,12000.0,0.325289,5.870364132440752E-9,11436.0,12000.0,57.699999999999996,15.437735910349994,14.459049544994945,13.408393039918115,12000.0,79848.0
