Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,1000.0,0.095031,1.5441087819635869E-9,946.0,1000.0,50.6,1.0039878960341395,-1.6460905349794255,-3.131524008350733,1000.0,63000.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,2000.0,0.124678,2.0272998884320257E-9,1894.0,2000.0,50.05,0.592069257176964,-2.1472392638036943,-2.4615384615384635,2000.0,63000.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,3000.0,0.141501,2.301483582705259E-9,2844.0,3000.0,50.0,0.45987537576396614,-0.6036217303822944,-2.389078498293525,3000.0,63000.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,4000.0,0.184231,3.059984166175127E-9,3801.0,4000.0,49.7,0.3881495564004994,-2.8104241185488075,-3.3384694401643524,4000.0,68616.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,5000.0,0.228292,3.906125947833061E-9,4756.0,5000.0,51.019999999999996,3.153195904989696,-0.16359918200409468,-0.5749486652977464,5000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,6000.0,0.247828,4.281292781233788E-9,5715.0,6000.0,52.916666666666664,6.944416994419955,4.721753794266439,3.319644079397672,6000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,7000.0,0.261989,4.553238805383444E-9,6664.0,7000.0,54.1,9.152599881245228,7.3529411764705985,5.970149253731343,7000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,8000.0,0.276415,4.8302738554775715E-9,7609.0,8000.0,54.800000000000004,10.618347512206563,9.236947791164667,7.305819020763911,8000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,9000.0,0.290339,5.097668562084437E-9,8562.0,9000.0,55.34444444444444,11.755880135741412,9.968637992831534,8.325729927007302,9000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,10000.0,0.303688,5.3540210425853734E-9,9519.0,10000.0,56.19,13.296216223918607,11.637757160145213,10.262187628021287,10000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,11000.0,0.317732,5.623720213770867E-9,10476.0,11000.0,56.85454545454546,14.534607492253269,12.917431192660562,11.751580513201949,11000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,12000.0,0.329991,5.8591404743492606E-9,11433.0,12000.0,57.21666666666667,15.293842015755772,13.481631277384581,12.4189696349369,12000.0,74232.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,13000.0,0.34775,6.223410637014442E-9,12403.0,13000.0,57.599999999999994,16.03270121778363,14.143302180685346,13.210518028656903,13000.0,79288.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,14000.0,0.36218,6.542452135019832E-9,13358.0,14000.0,57.885714285714286,16.486359870457534,14.932910113980672,14.03994751421489,14000.0,85464.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,15000.0,0.373743,6.7981054157846505E-9,14308.0,15000.0,58.10666666666666,16.686060329863448,15.33279439504176,14.966170500676586,15000.0,85464.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,16000.0,0.38516,7.0505306952529485E-9,15256.0,16000.0,58.3875,16.99790342725388,15.902488316281424,16.01917255297681,16000.0,85464.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomRBFGenerator -t 0.95,1,17000.0,0.40016,7.402415408028497E-9,16210.0,17000.0,58.43529411764706,17.115549929307893,16.259777198388246,16.0907255670348,17000.0,90680.0
