Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,generators.RandomRBFGenerator,1,1000.0,0.550251,7.983006350696088E-10,1000.0,69.19999999999999,38.40468124422542,36.62551440329217,35.69937369519832,1000.0,5608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,2000.0,0.659931,9.574236782888572E-10,2000.0,69.5,38.98932313154801,37.62781186094068,37.43589743589743,2000.0,5608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,3000.0,0.732269,1.0623711864981388E-9,3000.0,69.53333333333333,39.06268542878135,38.698859825620396,37.610921501706486,3000.0,5608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,4000.0,0.927087,1.6268462128937246E-9,4000.0,69.8,39.581270193760055,38.2728666326009,37.955829481253204,4000.0,11200.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,5000.0,1.040489,1.955422612114085E-9,5000.0,70.76,41.48764500818374,40.20449897750512,39.958932238193015,5000.0,11200.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,6000.0,1.234011,2.796101998537779E-9,6000.0,71.43333333333334,42.82407059926312,42.19224283305228,41.34154688569473,6000.0,16792.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,7000.0,1.382784,3.4423871462543807E-9,7000.0,72.88571428571429,45.73953670728918,45.27104959630911,44.45419959028387,7000.0,16792.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,8000.0,1.576439,4.563796155982547E-9,8000.0,73.7625,47.49056037128351,47.31425702811244,46.19328377339143,8000.0,22384.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,9000.0,1.722229,5.6189383359418975E-9,9000.0,74.25555555555555,48.47267299744688,48.09587813620071,47.14872262773723,9000.0,27976.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,10000.0,1.828943,6.545649713112248E-9,10000.0,74.95,49.86966111890917,49.475594997983066,48.68906185989349,10000.0,33568.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
