Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,1000.0,1.369626,3.608994647860527E-8,942.0,1000.0,39.300000000000004,1.4610389610389625,-26.195426195426197,-62.2994652406417,1000.0,101856.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,2000.0,2.628137,6.572012141346931E-8,1897.0,2000.0,40.1,0.8246127151456046,-30.359085963003253,-53.98457583547557,2000.0,91008.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,3000.0,3.78419,9.364145886152983E-8,2853.0,3000.0,40.300000000000004,0.4342128280315629,-28.020014295925645,-51.01180438448567,3000.0,93360.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,4000.0,5.061969,1.2376494388406475E-7,3809.0,4000.0,40.775,0.16523938217918185,-26.279317697228148,-47.601246105919,4000.0,91128.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,5000.0,6.272834,1.530076111190849E-7,4754.0,5000.0,41.0,0.5917721258789878,-26.392459297343624,-47.05882352941177,5000.0,93352.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,6000.0,7.450611,1.800983641917507E-7,5714.0,6000.0,41.21666666666667,0.6927760540916073,-26.09939220593494,-45.68360181743082,6000.0,88912.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,7000.0,8.643453,2.1020184597621364E-7,6662.0,7000.0,41.628571428571426,0.7401628580392103,-23.930846223839865,-43.21766561514196,7000.0,97552.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,8000.0,9.885401,2.436805594671104E-7,7615.0,8000.0,41.5875,0.7120980173228048,-23.7552966101695,-43.387542190856074,8000.0,104200.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,9000.0,11.051295,2.738061265150706E-7,8549.0,9000.0,41.922222222222224,0.7494709296776358,-23.017180513061888,-41.57638136511375,9000.0,99880.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,10000.0,12.24432,3.053438305296004E-7,9498.0,10000.0,41.97,0.888183972299116,-22.322934232714996,-41.70940170940171,10000.0,102184.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,11000.0,13.548773,3.3900643212513794E-7,10448.0,11000.0,42.209090909090904,0.8263998657092403,-21.7349674454232,-40.23825281270683,11000.0,99752.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,12000.0,14.737746,3.6834788240078426E-7,11408.0,12000.0,42.36666666666667,0.7088421030114206,-21.120840630472852,-39.15492957746478,12000.0,95392.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,13000.0,15.900094,3.989976583876544E-7,12358.0,13000.0,42.184615384615384,0.7797544718315185,-21.480523678681106,-40.381023533806484,13000.0,101928.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,14000.0,17.118982,4.290950087168151E-7,13312.0,14000.0,42.35714285714286,0.763689200236494,-20.465741155396312,-39.25798101811907,14000.0,95448.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,15000.0,18.294765,4.627271299581562E-7,14259.0,15000.0,42.68666666666667,1.0225862382595907,-19.568845618915173,-37.927161880314465,15000.0,110568.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,16000.0,19.471026,4.911121930947735E-7,15213.0,16000.0,42.66875,1.0415210003447581,-19.72069955625162,-38.0436418359669,16000.0,93280.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,17000.0,20.738799,5.202651266091401E-7,16173.0,17000.0,42.699999999999996,0.9784487170174251,-19.59484346224678,-37.7209105047363,17000.0,88888.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,18000.0,21.913546,5.505854088833764E-7,17119.0,18000.0,42.63333333333333,0.8941674286261513,-19.66624174295979,-37.900641025641015,18000.0,99768.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,19000.0,23.087713,5.789345208203628E-7,18072.0,19000.0,42.75263157894737,0.8886912425126193,-19.422485726833553,-37.162673392181574,19000.0,93328.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,20000.0,24.342868,6.099637602724963E-7,19029.0,20000.0,42.754999999999995,0.933788813508142,-19.52187075895188,-37.24526492447854,20000.0,95560.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,21000.0,25.455844,6.375034676947528E-7,19986.0,21000.0,42.819047619047616,1.0190063620511827,-19.316375198728142,-37.046336452864665,21000.0,95648.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,22000.0,26.707499,6.698579677359927E-7,20935.0,22000.0,42.67727272727272,1.0027085897572068,-19.830862789813775,-37.82513661202187,22000.0,99920.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,23000.0,27.880247,6.97546620807714E-7,21876.0,23000.0,42.65217391304348,1.0363859037476826,-19.745801180208794,-38.05735817458655,23000.0,91264.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,24000.0,29.01461,7.262235827599135E-7,22824.0,24000.0,42.5625,1.0165330393851808,-19.765421372719373,-38.51487138263667,24000.0,97720.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,25000.0,30.30391,7.574031667018103E-7,23782.0,25000.0,42.576,0.9310657984448347,-19.82305316751523,-38.291108756381824,25000.0,93480.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,26000.0,31.483065,7.858824705560175E-7,24738.0,26000.0,42.64230769230769,0.9514523712585778,-19.638989169675085,-37.90456815239504,26000.0,93360.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,27000.0,32.643263,8.152269542651873E-7,25684.0,27000.0,42.733333333333334,0.9903948772678766,-19.2135697764071,-37.45221797493109,27000.0,97768.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,28000.0,33.792881,8.46278624193122E-7,26635.0,28000.0,42.67857142857142,0.987704272401701,-19.056449818262752,-37.7918956043956,28000.0,104408.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,29000.0,35.021449,8.787253982221915E-7,27582.0,29000.0,42.737931034482756,1.0629079937268537,-18.920080206244645,-37.614983011519016,29000.0,102088.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean),SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,30000.0,36.158058,9.107100630799929E-7,28524.0,30000.0,42.79666666666667,1.108199005639806,-18.539752711197064,-37.419923126201155,30000.0,108776.0
