Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,1000.0,1.304111,1.0110167568963436E-7,937.0,1000.0,42.3,2.2033898305084674,-19.958419958419967,-54.27807486631016,1000.0,299672.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,2000.0,2.60974,2.0297224995369714E-7,1891.0,2000.0,45.9,4.187162673727183,-17.736670293797594,-39.074550128534696,2000.0,301600.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,3000.0,3.883844,3.022644531581965E-7,2844.0,3000.0,47.53333333333333,5.183426496674183,-12.508934953538231,-32.71500843170321,3000.0,301240.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,4000.0,5.157659,4.0146559063759113E-7,3805.0,4000.0,48.125,4.930727717480692,-10.607675906183372,-29.283489096573206,4000.0,301032.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,5000.0,6.373918,4.962498749482134E-7,4764.0,5000.0,48.559999999999995,5.272101101628008,-10.19708654670095,-28.21535393818545,5000.0,301240.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,6000.0,7.615856,5.933951945747766E-7,5714.0,6000.0,49.53333333333333,6.489412427396508,-8.258848766535582,-25.072284180090875,6000.0,302360.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,7000.0,8.860258,6.905426689340836E-7,6669.0,7000.0,49.94285714285714,6.668002010321321,-6.278434940855325,-22.818086225026278,7000.0,301768.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,8000.0,10.058665,7.843772099084323E-7,7618.0,8000.0,50.6375,7.43551368133111,-4.581567796610171,-21.172138692850552,8000.0,302664.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,9000.0,11.285365,8.800589517421191E-7,8581.0,9000.0,51.26666666666667,8.048322500347679,-3.2242880677806363,-18.797399783315253,9000.0,301504.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,10000.0,12.497372,9.747802697246272E-7,9517.0,10000.0,51.74999999999999,8.793342537802069,-1.7074198988195604,-17.826617826617845,10000.0,302096.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,11000.0,13.708067,1.0692011044484873E-6,10467.0,11000.0,52.0,9.02591946788935,-1.110685561087692,-16.479152878888158,11000.0,301464.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,12000.0,14.931322,1.1646698351142306E-6,11413.0,12000.0,52.083333333333336,8.937715693887878,-0.700525394045527,-15.694164989939624,12000.0,301680.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,13000.0,16.135991,1.2587902453210617E-6,12371.0,13000.0,52.08461538461538,8.857329310511338,-0.6788427347664518,-16.342921180425847,13000.0,302008.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,14000.0,17.357272,1.3544259168973398E-6,13319.0,14000.0,52.028571428571425,8.504054921544544,-0.2537692192864625,-15.893011216566016,14000.0,302696.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,15000.0,18.546552,1.4477673399717443E-6,14256.0,15000.0,51.96666666666667,8.160356987894254,-0.208623087621697,-15.594416813733346,15000.0,303384.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,16000.0,19.766602,1.543220764040533E-6,15207.0,16000.0,51.925,7.902739929406473,-0.3915426781519102,-15.756207674943576,16000.0,302424.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,17000.0,20.976104,1.6378539473998048E-6,16164.0,17000.0,51.81764705882353,7.472189959905666,-0.5647636586862975,-15.806588434893229,17000.0,302440.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,18000.0,22.184896,1.7326617378348276E-6,17113.0,18000.0,51.68333333333334,6.992788207037731,-0.7880403291227238,-16.145833333333314,18000.0,303176.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,19000.0,23.41522,1.8291634153926537E-6,18057.0,19000.0,51.53684210526316,6.420194486941029,-1.0979358805445796,-16.116015132408563,19000.0,303192.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,20000.0,24.607211,1.922108276091102E-6,19008.0,20000.0,51.485,6.265837503970646,-1.2944983818770193,-16.315032366338993,20000.0,301408.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,21000.0,25.798528,2.01506961758145E-6,19965.0,21000.0,51.10952380952381,5.486081313453226,-2.017090620031806,-17.176443734307263,21000.0,301632.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,22000.0,26.999108,2.108855647140493E-6,20910.0,22000.0,51.02727272727273,5.314388722344019,-2.3755226149752926,-17.748633879781416,22000.0,301960.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,23000.0,28.198094,2.202755374889821E-6,21873.0,23000.0,50.98695652173914,5.156974080260905,-2.3422605537902665,-17.992463889470358,23000.0,302728.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,24000.0,29.406632,2.297045505400747E-6,22824.0,24000.0,50.82083333333334,4.834291154015581,-2.5456125108601073,-18.59927652733119,24000.0,301584.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,25000.0,30.63558,2.3928110259005594E-6,23778.0,25000.0,50.86000000000001,4.850280239121559,-2.5373508054419394,-18.341200269723508,25000.0,301216.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,26000.0,31.843012,2.4871348138877916E-6,24734.0,26000.0,50.823076923076925,4.774554827001939,-2.57521058965101,-18.235620491954858,26000.0,301968.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,27000.0,33.085445,2.5839665783217385E-6,25695.0,27000.0,50.855555555555554,4.844203807952952,-2.30531996915961,-17.95715174682193,27000.0,301264.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,28000.0,34.297691,2.678505865039511E-6,26662.0,28000.0,50.76428571428572,4.713962749273418,-2.2624434389140284,-18.3550824175824,28000.0,301456.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,29000.0,35.497642,2.7720813361824388E-6,27608.0,29000.0,50.86551724137931,4.987452726991917,-2.040962474935561,-18.082373415099024,29000.0,301440.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,30000.0,36.713812,2.866818412755513E-6,28556.0,30000.0,50.94,5.178436362650989,-1.6647095392691862,-17.857142857142865,30000.0,301112.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,31000.0,37.932236,2.962137057994389E-6,29510.0,31000.0,51.00645161290323,5.273863391281558,-1.6395636752994773,-17.627013630731096,31000.0,302400.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,32000.0,39.198915,3.0617550500047708E-6,30456.0,32000.0,51.04062499999999,5.178775675789779,-1.503077421444787,-17.399775196702908,32000.0,304000.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,33000.0,40.425181,3.157905441793717E-6,31403.0,33000.0,51.154545454545456,5.227600426919169,-1.1991461577096933,-16.93993035403367,33000.0,303088.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,34000.0,41.667704,3.255230240258906E-6,32361.0,34000.0,51.30294117647058,5.417471398369552,-0.8957952468007353,-16.71366135626676,34000.0,302776.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,35000.0,42.885038,3.350430861384505E-6,33302.0,35000.0,51.43714285714286,5.563078929464106,-0.5204329055532508,-16.36998493769682,35000.0,302296.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,36000.0,44.128684,3.4473520159431635E-6,34263.0,36000.0,51.38611111111111,5.402044224894157,-0.7077914604672484,-16.36303191489361,36000.0,301248.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,37000.0,45.344921,3.5422453395380747E-6,35213.0,37000.0,51.37837837837837,5.372327018088988,-0.6715165081141741,-16.327190430003238,37000.0,301592.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,38000.0,46.608175,3.6408776164323924E-6,36159.0,38000.0,51.386842105263156,5.392816217477302,-0.6264298943240173,-16.40201638311279,38000.0,301808.0
semisupervised.ClusterAndLabelClassifier -c (semisupervised.ClustreamSSL -a Euclidean) -p,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,39000.0,47.820406,3.73584976270381E-6,37118.0,39000.0,51.47435897435897,5.528688835811469,-0.3606087924908619,-16.225511269422125,39000.0,302840.0
