Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,1000.0,0.121495,2.2735814874370894E-9,942.0,1000.0,59.5,7.216494845360819,15.800415800415793,-8.288770053475943,1000.0,72528.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,2000.0,0.214517,4.514501057565212E-9,1893.0,2000.0,62.9,18.426668103178166,19.260065288356916,4.627249357326482,2000.0,93120.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,3000.0,0.282971,6.4464928954839705E-9,2838.0,3000.0,64.4,23.580260046548307,23.65975696926377,9.949409780775717,3000.0,109096.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,4000.0,0.311549,7.274525587757428E-9,3796.0,4000.0,65.4,26.744812590576544,26.226012793176974,13.76947040498443,4000.0,112000.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,5000.0,0.347346,8.458711033066114E-9,4748.0,5000.0,65.7,27.77672589620872,26.5209940017138,14.506480558325032,5000.0,127872.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,6000.0,0.370692,9.336389613648255E-9,5690.0,6000.0,65.68333333333334,28.45830602889047,26.38541294243833,14.95249896736886,6000.0,145320.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,7000.0,0.384304,9.848490651282998E-9,6640.0,7000.0,65.78571428571428,29.19287565027251,27.358204428268106,16.053277252015413,7000.0,145424.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,8000.0,0.397028,1.0328816668026977E-8,7599.0,8000.0,65.7875,29.518073064804994,27.515889830508467,16.017183185026088,8000.0,145920.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,9000.0,0.409686,1.0806782195965449E-8,8551.0,9000.0,65.88888888888889,29.96644016145586,27.747705342433516,16.84723726977248,9000.0,145960.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,10000.0,0.426947,1.1458628250079022E-8,9505.0,10000.0,65.9,30.111860373908524,28.11973018549748,16.72771672771673,10000.0,145976.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,11000.0,0.444291,1.2113680514610475E-8,10455.0,11000.0,65.9090909090909,30.300196125954788,28.188433550363847,17.273328921244197,11000.0,145992.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,12000.0,0.472591,1.321438355371356E-8,11406.0,12000.0,65.89166666666667,30.418977038262422,28.318739054290727,17.645875251509064,12000.0,150344.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,13000.0,0.488892,1.3848463756342729E-8,12349.0,13000.0,66.03076923076922,30.707597722166764,28.624535315985117,17.519611505416503,13000.0,150360.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,14000.0,0.506404,1.4529758455852668E-8,13303.0,14000.0,65.99285714285715,30.74518241902233,28.929690998656522,17.84296807592752,14000.0,150384.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,15000.0,0.523222,1.5184088274836543E-8,14252.0,15000.0,66.06666666666666,30.980714954095255,29.207232267037536,18.337879030964206,15000.0,150392.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,16000.0,0.544016,1.599323951535755E-8,15204.0,16000.0,66.06875,31.05372707213378,29.14382667710781,18.299473288186597,16000.0,150416.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,17000.0,0.556343,1.647294221031997E-8,16160.0,17000.0,66.13529411764706,31.246054528540668,29.318600368324127,18.605966350911928,17000.0,150424.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,18000.0,0.582652,1.7596992670247953E-8,17107.0,18000.0,65.95555555555556,30.938447350990693,28.98365975199907,18.16239316239317,18000.0,165152.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,19000.0,0.596006,1.8169559064424702E-8,18066.0,19000.0,65.9578947368421,31.034548553014556,28.985507246376805,18.43631778058008,19000.0,165736.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,20000.0,0.60875,1.871784371427364E-8,19008.0,20000.0,65.935,31.026547095403668,28.875665518321327,18.32893790457924,20000.0,166304.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,21000.0,0.622537,1.931328400762545E-8,19967.0,21000.0,65.97142857142858,31.1433271838331,28.99443561208267,18.443277790458783,21000.0,166944.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,22000.0,0.638901,2.0020088882495962E-8,20916.0,22000.0,65.85454545454546,30.907740034669374,28.620296465222346,17.901639344262293,22000.0,166960.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,23000.0,0.652404,2.0603319524476926E-8,21861.0,23000.0,65.78695652173913,30.825140301278527,28.561053109396273,17.636592003349378,23000.0,166960.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,24000.0,0.668885,2.1320021444310747E-8,22806.0,24000.0,65.72916666666667,30.72169519393308,28.540399652476122,17.353295819935695,24000.0,168096.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,25000.0,0.68135,2.1862081357588372E-8,23755.0,25000.0,65.79599999999999,30.873300880125225,28.628662048243047,17.628359502938068,25000.0,168096.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,26000.0,0.693639,2.239648763711254E-8,24699.0,26000.0,65.82692307692307,30.952169021295035,28.72041716807059,17.83798779360088,26000.0,168096.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,27000.0,0.706718,2.2964300902353396E-8,25651.0,27000.0,65.87037037037037,31.09164101349751,28.951426368542784,18.081607253978135,27000.0,167816.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,28000.0,0.722862,2.366531208985382E-8,26612.0,28000.0,65.87142857142857,31.097376309492468,29.115050812254275,17.96016483516484,28000.0,167848.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,29000.0,0.743304,2.4574656171931167E-8,27562.0,29000.0,65.81379310344828,31.022799360849223,29.00315095961041,17.842048562194407,29000.0,171952.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,30000.0,0.760706,2.5351289643181703E-8,28506.0,30000.0,65.85333333333332,31.141850812138312,29.239483318367064,17.969250480461238,30000.0,172512.0
