Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,1000.0,0.082277,1.5388289445804227E-9,945.0,1000.0,62.6,16.190476190476197,22.245322245322242,0.0,1000.0,72488.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,2000.0,0.100055,1.872214399692085E-9,1890.0,2000.0,61.1,7.599304025606152,15.342763873775844,0.0,2000.0,72488.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,3000.0,0.117408,2.1976299583911898E-9,2835.0,3000.0,60.4,4.754625573970985,15.082201572551826,-0.16863406408095385,3000.0,72488.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,4000.0,0.135492,2.536753738919894E-9,3789.0,4000.0,61.425,9.422576261435921,17.7505330490405,3.862928348909647,4000.0,72488.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,5000.0,0.146319,2.741021613279979E-9,4742.0,5000.0,62.62,14.038359220864653,19.922879177377887,6.8295114656031854,5000.0,72928.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,6000.0,0.183356,3.601900080425872E-9,5698.0,6000.0,63.66666666666667,18.825365807158853,22.059349302824458,9.954564229657171,6000.0,89848.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,7000.0,0.208609,4.1974455490708355E-9,6637.0,7000.0,62.07142857142857,18.444275740408354,19.47224749772519,6.9400630914826404,7000.0,91160.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,8000.0,0.231589,4.739862096806368E-9,7591.0,8000.0,61.612500000000004,19.082104919233622,18.67055084745763,5.768640687327419,8000.0,91240.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,9000.0,0.249585,5.16486050768031E-9,8530.0,9000.0,61.7,20.412240121835996,18.875029418686754,6.635969664138687,9000.0,91288.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,10000.0,0.262567,5.471446936329206E-9,9479.0,10000.0,61.75000000000001,21.135919860734077,19.3718381112985,6.593406593406599,10000.0,91288.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,11000.0,0.272393,5.703500414060222E-9,10446.0,11000.0,62.018181818181816,22.31976657865679,19.99234009957871,7.8314581954555385,11000.0,91288.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,12000.0,0.282547,5.943300028642019E-9,11410.0,12000.0,62.46666666666667,23.696704905561546,21.120840630472863,9.376257545271642,12000.0,91288.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,13000.0,0.293659,6.205747028191885E-9,12345.0,13000.0,62.723076923076924,24.43658186782628,21.674478745757234,9.488233096750104,13000.0,91296.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,14000.0,0.303505,6.438313586016497E-9,13287.0,14000.0,63.271428571428565,25.817393642743948,23.242274966412896,11.268334771354604,14000.0,91304.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,15000.0,0.311992,6.6387800065179674E-9,14240.0,15000.0,63.519999999999996,26.49405665760738,23.894297635604993,12.209209048612218,15000.0,91304.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -s DistanceMeasure,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,16000.0,0.323582,6.914771325472329E-9,15198.0,16000.0,63.84375,27.301454822299647,24.497520229705046,12.942061700526706,16000.0,92048.0
