Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,1000.0,0.087137,1.7040254196359053E-9,947.0,1000.0,54.300000000000004,7.208121827411164,4.989604989604994,-22.192513368983946,1000.0,75784.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,2000.0,0.109026,2.133167472978433E-9,1905.0,2000.0,58.15,11.322158018193253,8.922742110990214,-7.583547557840609,2000.0,75784.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,3000.0,0.122272,2.3928602702087826E-9,2850.0,3000.0,58.86666666666667,11.543797289541406,11.794138670478922,-4.047217537942668,3000.0,75784.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,4000.0,0.134596,2.6344769116905E-9,3801.0,4000.0,59.75,12.856247449286137,14.179104477611942,-0.3115264797507722,4000.0,75784.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,5000.0,0.158599,3.132834028866556E-9,4750.0,5000.0,59.96,12.334155226171758,14.224507283633251,0.19940179461615726,5000.0,80256.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,6000.0,0.17963,3.5695726879768902E-9,5704.0,6000.0,59.699999999999996,11.27443377824136,13.550232391848393,0.12391573729862329,6000.0,80272.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,7000.0,0.226035,4.9223928815788694E-9,6649.0,7000.0,59.971428571428575,11.680443688920654,15.01364877161056,1.7875920084122108,7000.0,112688.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,8000.0,0.238973,5.303450090189775E-9,7610.0,8000.0,60.4,12.13618890719384,16.101694915254228,2.792267566738269,8000.0,113848.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,9000.0,0.249669,5.624185879197386E-9,8562.0,9000.0,60.62222222222222,12.726828570767204,16.592139326900455,4.008667388949088,9000.0,115912.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,10000.0,0.259905,5.932653153108227E-9,9521.0,10000.0,60.89,13.118513545070323,17.559021922428336,4.493284493284487,10000.0,116488.0
