Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,1000.0,0.109406,2.182985440724426E-9,959.0,1000.0,58.5,-3.362391033623899,13.721413721413711,-10.962566844919795,1000.0,77320.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,2000.0,0.137219,2.7400699340634875E-9,1899.0,2000.0,59.050000000000004,-2.065486412454244,10.88139281828075,-5.2699228791773685,2000.0,77424.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,3000.0,0.150583,3.0077460987700354E-9,2846.0,3000.0,59.099999999999994,-1.4788733170937425,12.294496068620445,-3.4569983136593723,3000.0,77424.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,4000.0,0.192941,4.016675208177831E-9,3795.0,4000.0,58.85,-1.1751313248287056,12.260127931769722,-2.5545171339563817,4000.0,92072.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,5000.0,0.210309,4.441759739485052E-9,4742.0,5000.0,59.06,-0.9417017538115078,12.29648671808055,-2.04386839481555,5000.0,94608.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,6000.0,0.228983,4.899118008712928E-9,5682.0,6000.0,58.96666666666667,-0.8015538670074669,11.97711834107972,-1.6935150764147109,6000.0,94672.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,7000.0,0.246325,5.324140443570084E-9,6623.0,7000.0,58.65714285714285,-0.7111525794344651,12.223233242341507,-1.4370837714686386,7000.0,94736.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,8000.0,0.261684,5.7006583383513816E-9,7565.0,8000.0,58.75,-0.621720265519373,12.60593220338983,-1.2580546179809597,8000.0,94760.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,9000.0,0.276761,6.070294353283113E-9,8508.0,9000.0,58.52222222222222,-0.5654799000146145,12.144033890327139,-1.1105092091007531,9000.0,94768.0
semisupervised.SelfTrainingClassifier -l trees.HoeffdingTree,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,10000.0,0.291845,6.440133201993173E-9,9458.0,10000.0,58.64,-0.5063029310514839,12.816188870151784,-1.0012210012209994,10000.0,94776.0
