Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,1000.0,0.113388,1.801080380876859E-9,952.0,1000.0,37.9,0.4807692307692312,-29.10602910602911,-66.0427807486631,1000.0,61592.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,2000.0,0.135593,2.1548925071126884E-9,1905.0,2000.0,39.15,0.25538555350474024,-32.426550598476595,-56.42673521850898,2000.0,61592.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,3000.0,0.146842,2.334132885767354E-9,2849.0,3000.0,39.7,0.17467133241705796,-29.306647605432435,-52.529510961214164,3000.0,61592.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,4000.0,0.191666,3.2487326653467285E-9,3799.0,4000.0,40.25,0.13421293224336134,-27.398720682302773,-48.90965732087227,4000.0,78872.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,5000.0,0.217142,3.768920232024458E-9,4751.0,5000.0,40.160000000000004,-0.012715520382333768,-28.19194515852613,-49.15254237288135,5000.0,78928.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,6000.0,0.239913,4.233969387908777E-9,5701.0,6000.0,40.38333333333333,-0.009748410850593192,-27.887021809081176,-47.74886410574145,6000.0,78944.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,7000.0,0.255702,4.556426070630551E-9,6659.0,7000.0,40.785714285714285,-0.007045128390221758,-25.72035183500152,-45.285664213109,7000.0,78944.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,8000.0,0.27181,4.885464323063692E-9,7604.0,8000.0,40.7625,-0.006225329494027044,-25.5031779661017,-45.41270328321569,8000.0,78960.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,9000.0,0.287082,5.197425596415997E-9,8555.0,9000.0,41.044444444444444,-0.004812393912154101,-24.876441515650733,-43.716143011917644,9000.0,78960.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,10000.0,0.300465,5.4708002507686616E-9,9510.0,10000.0,40.97,-0.004499609536896798,-24.430860033726802,-44.15140415140416,10000.0,78960.0
