Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,1000.0,0.092029,1.4618092423511878E-9,937.0,1000.0,37.6,0.12004801920768762,-29.72972972972973,-66.84491978609626,1000.0,61592.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,2000.0,0.12196,1.9387266370985245E-9,1894.0,2000.0,39.0,0.06381171366807377,-32.75299238302502,-56.81233933161953,2000.0,61592.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,3000.0,0.138765,2.2064957333107792E-9,2842.0,3000.0,39.6,0.04365275356200705,-29.521086490350235,-52.782462057335586,3000.0,61592.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,4000.0,0.187103,3.1909952912893564E-9,3784.0,4000.0,40.2,0.06709542004824504,-27.50533049040512,-49.034267912772584,4000.0,78728.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,5000.0,0.211433,3.6877829933332076E-9,4738.0,5000.0,40.2,0.06731251925960849,-28.10625535561268,-49.052841475573274,5000.0,78928.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,6000.0,0.226987,4.005472492426634E-9,5689.0,6000.0,40.416666666666664,0.056937259985221096,-27.815516624955322,-47.66625361420901,6000.0,78952.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,7000.0,0.242377,4.319812301546335E-9,6633.0,7000.0,40.81428571428572,0.050111078408325516,-25.659690627843503,-45.21556256572029,7000.0,78952.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,8000.0,0.256535,4.608988585985369E-9,7582.0,8000.0,40.7875,0.043784915832732106,-25.45021186440679,-45.351334765265406,8000.0,78952.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,9000.0,0.270614,4.896580438233084E-9,8516.0,9000.0,41.06666666666667,0.03963988639498081,-24.829371616851013,-43.6619718309859,9000.0,78960.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,10000.0,0.283051,5.150631142573224E-9,9471.0,10000.0,40.99,0.03550679169032259,-24.38870151770657,-44.10256410256411,10000.0,78960.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,11000.0,0.291763,5.328591240362988E-9,10423.0,11000.0,41.24545454545455,0.03281946174395173,-23.764841057066242,-42.576660048532986,11000.0,78960.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,12000.0,0.300349,5.503977535085545E-9,11374.0,12000.0,41.449999999999996,0.03048458394233916,-23.047285464098078,-41.3682092555332,12000.0,78960.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,13000.0,0.30877,5.675993373410569E-9,12333.0,13000.0,41.215384615384615,0.027723674961792285,-23.517051882980454,-42.73440418378782,13000.0,78960.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,14000.0,0.317473,5.8537696281241044E-9,13277.0,14000.0,41.42142857142857,0.026087571344637232,-22.421256904015518,-41.51855047454703,14000.0,78960.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,15000.0,0.326094,6.029870868143108E-9,14233.0,15000.0,41.58,0.024597394501584116,-21.877607788595284,-40.59040590405905,15000.0,78960.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,16000.0,0.337726,6.2673574623962235E-9,15182.0,16000.0,41.55625,0.023026992366084225,-22.043852779953003,-40.72234762979685,16000.0,78920.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,17000.0,0.378551,7.790741976350545E-9,16123.0,17000.0,41.62352941176471,0.010009193190269775,-21.841620626151016,-40.3082143362081,17000.0,144240.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,18000.0,0.38902,8.188000962966016E-9,17072.0,18000.0,41.62777777777778,0.025280453177283533,-21.763819677830572,-40.31784188034187,18000.0,146680.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,19000.0,0.399437,8.592772742526396E-9,18026.0,19000.0,41.757894736842104,0.013675871609024544,-21.497584541062807,-39.54602774274905,19000.0,150200.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,20000.0,0.410498,9.023117737637623E-9,18972.0,20000.0,41.74,0.02726084655958139,-21.64108988412152,-39.67873411651882,20000.0,150392.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,21000.0,0.420862,9.42643068730831E-9,19923.0,21000.0,41.75714285714286,0.03281448522732402,-21.532193958664543,-39.591417484592576,21000.0,150424.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,22000.0,0.432078,9.86322402126259E-9,20848.0,22000.0,41.622727272727275,0.031002680700157492,-22.035347776510843,-40.360655737704924,22000.0,150536.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,23000.0,0.441807,1.0242188508725826E-8,21797.0,23000.0,41.5695652173913,0.029535397714884983,-22.006354970494773,-40.663596399413855,23000.0,150568.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,24000.0,0.451432,1.0617101983063748E-8,22764.0,24000.0,41.5,0.03405119798075043,-21.98088618592528,-41.077170418006446,24000.0,150568.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,25000.0,0.466771,1.1274840771738023E-8,23718.0,25000.0,41.556,0.032822567993365075,-21.951423086553714,-40.74751950679124,25000.0,165752.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,26000.0,0.477105,1.1722755111340017E-8,24667.0,26000.0,41.62307692307692,0.031713486596525314,-21.764941837143994,-40.35509524690215,26000.0,167544.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,27000.0,0.489203,1.2248980649229551E-8,25617.0,27000.0,41.699999999999996,0.04127639307826079,-21.364687740940642,-39.93243843897234,27000.0,168136.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,28000.0,0.499792,1.2711256819052828E-8,26558.0,28000.0,41.63214285714286,0.032499639630800395,-21.229879089088357,-40.30734890109889,28000.0,168752.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,29000.0,0.51027,1.3168752199659743E-8,27511.0,29000.0,41.64827586206897,0.041236773385598995,-21.183042108278443,-40.23369520178999,29000.0,168776.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,30000.0,0.520312,1.360883181500766E-8,28460.0,30000.0,41.663333333333334,0.0399063586225755,-20.888305588174333,-40.142536835361945,30000.0,169400.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,31000.0,0.534898,1.4248047237181E-8,29403.0,31000.0,41.68709677419355,0.038684713463301955,-20.973030850565486,-40.00154894671622,31000.0,169400.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,32000.0,0.549218,1.4875635138402383E-8,30365.0,32000.0,41.7375,0.037607874327795464,-20.79041140265631,-39.70775571375048,32000.0,169408.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,33000.0,0.557416,1.523495437991288E-8,31323.0,33000.0,41.803030303030305,0.0366342277252082,-20.573832245102956,-39.328206616366806,33000.0,169424.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,34000.0,0.565325,1.5581639456666178E-8,32265.0,34000.0,41.75588235294118,0.03544433003942032,-20.676416819012793,-39.595375722543366,34000.0,169440.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,35000.0,0.573282,1.5930428577380047E-8,33218.0,35000.0,41.76285714285714,0.03444989931855232,-20.545271748772848,-39.55223880597014,35000.0,169440.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,36000.0,0.58151,1.6291113808337183E-8,34171.0,36000.0,41.80833333333333,0.03359890353334852,-20.548969962020937,-39.28856382978723,36000.0,169448.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,37000.0,0.589889,1.6658418323430746E-8,35129.0,37000.0,41.82702702702702,0.03273412422842016,-20.44767767207612,-39.17879081797608,37000.0,169448.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,38000.0,0.597969,1.7012632501622037E-8,36059.0,38000.0,41.7921052631579,0.03179821415342036,-20.48698115263101,-39.376181474480134,38000.0,169456.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,39000.0,0.606105,1.7369352144499617E-8,37013.0,39000.0,41.77948717948718,0.030957490862042296,-20.411518269077796,-39.44604802554814,39000.0,169480.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,40000.0,0.613955,1.7713532232575943E-8,37969.0,40000.0,41.8275,0.03028391987954442,-20.247015658105532,-39.16866028708132,40000.0,169480.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,41000.0,0.622187,1.807446095678541E-8,38909.0,41000.0,41.8,0.029491004842970084,-20.272177419354843,-39.32387458399018,41000.0,169480.0
semisupervised.SelfTrainingWeightingClassifier -l trees.HoeffdingTree -w,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,42000.0,0.630497,1.8438809559577036E-8,39859.0,42000.0,41.78809523809524,0.024008849825065102,-20.302120749889273,-39.382019269140876,42000.0,169480.0
