Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,1000.0,0.094589,1.5114779046012298E-9,948.0,1000.0,61.9,-0.7936507936507649,20.790020790020787,-1.8716577540106967,1000.0,61960.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,2000.0,0.113324,1.8117830240064199E-9,1907.0,2000.0,60.75000000000001,-0.42832360180747053,14.581066376496205,-0.8997429305912461,2000.0,61960.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,3000.0,0.124594,1.992430939442582E-9,2869.0,3000.0,60.23333333333334,-0.29390401377375674,14.72480343102218,-0.5902192242832964,3000.0,61960.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,4000.0,0.159189,2.6957381909920113E-9,3820.0,4000.0,59.75,1.8459066085139242,14.179104477611942,-0.3115264797507722,4000.0,78584.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,5000.0,0.173386,2.986416220664978E-9,4777.0,5000.0,61.519999999999996,7.419401467392864,17.566409597257916,4.0877367896311,5000.0,79144.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,6000.0,0.188711,3.3005702102349865E-9,5724.0,6000.0,62.53333333333333,10.734612839179341,19.62817304254557,7.145807517554712,6000.0,79240.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,7000.0,0.200645,3.545235281603204E-9,6680.0,7000.0,62.97142857142857,12.692097595452582,21.383075523202898,9.14826498422712,7000.0,79248.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,8000.0,0.211251,3.7627401927279105E-9,7634.0,8000.0,63.3625,13.635486356557843,22.37817796610169,10.064436943847815,8000.0,79272.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,9000.0,0.221797,3.9790364665289724E-9,8591.0,9000.0,63.82222222222222,15.363661585655894,23.370204754059788,11.809317443120275,9000.0,79280.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,10000.0,0.232187,4.1921547158724736E-9,9543.0,10000.0,64.1,15.923672371553831,24.32546374367623,12.33211233211233,10000.0,79288.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,11000.0,0.242499,4.403737065278822E-9,10495.0,11000.0,64.21818181818182,16.65047008087614,24.626579854461898,13.170086035737919,11000.0,79312.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,12000.0,0.252641,4.611831342594492E-9,11443.0,12000.0,64.4,17.475244746653136,25.183887915936953,14.044265593561375,12000.0,79312.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,13000.0,0.262859,4.821484993315406E-9,12406.0,13000.0,64.78461538461538,18.02868871933774,26.00614191045741,14.493836384011956,13000.0,79312.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,14000.0,0.272966,5.028861138141818E-9,13360.0,14000.0,64.89285714285714,18.65454114541027,26.630840423943873,15.185504745470228,14000.0,79312.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,15000.0,0.27946,5.162105492005746E-9,14297.0,15000.0,65.02666666666667,19.25492147872037,27.037552155771895,15.835071394192196,15000.0,79312.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,16000.0,0.285828,5.292777748157581E-9,15255.0,16000.0,65.25,19.792643788095333,27.43409031584443,16.328066215199385,16000.0,79320.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,17000.0,0.312916,6.026902825882038E-9,16198.0,17000.0,65.28823529411764,20.241933675749884,27.550644567219152,16.570055139261992,17000.0,104760.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,18000.0,0.32928,6.5934982047312794E-9,17152.0,18000.0,65.03888888888889,20.416108655302157,27.071503071039515,15.958867521367532,18000.0,133840.0
semisupervised.SelfTrainingIncrementalClassifier -l trees.HoeffdingTree -t AdaptiveWindowing,SemiSupervisedStream -s generators.RandomTreeGenerator -t 0.95,1,19000.0,0.340943,7.028123639110062E-9,18101.0,19000.0,65.32631578947368,21.69043653746606,27.667984189723327,16.923076923076938,19000.0,144048.0
